model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,iou,iou_0.5,iou_0.7,time
yolo11x,000000007088,0,2/255,0.25,0.25,odpv,0.8728452324867249,0.8728452324867249,0.8728452324867249,53.15642523765564
yolo11x,000000007088,0,2/255,0.25,0.25,pgd,0.0,0.0,0.0,34.62837481498718
yolo11x,000000007088,0,2/255,0.25,0.25,rcp,0.8973173344586335,0.8973173344586335,0.8973173344586335,885.6504153013229
yolo11x,000000007088,0,2/255,0.25,0.25,square_attack,0.8828462362289429,0.8828462362289429,0.8828462362289429,128.23683655261993
yolo11x,000000007088,0,2/255,0.25,0.45,odpv,0.5305553674697876,0.5305553674697876,0.0,53.334192991256714
yolo11x,000000007088,0,2/255,0.25,0.45,pgd,0.0,0.0,0.0,654.2826836109161
yolo11x,000000007088,0,2/255,0.25,0.45,rcp,0.8968139717514845,0.8968139717514845,0.8968139717514845,908.7267364859581
yolo11x,000000007088,0,2/255,0.25,0.45,square_attack,0.8828462362289429,0.8828462362289429,0.8828462362289429,128.50752186775208
yolo11x,000000007088,0,2/255,0.25,0.65,odpv,0.8731002807617188,0.8731002807617188,0.8731002807617188,51.84172248840332
yolo11x,000000007088,0,2/255,0.25,0.65,pgd,0.0,0.0,0.0,576.8072655200958
yolo11x,000000007088,0,2/255,0.25,0.65,rcp,0.8971704689015716,0.8971704689015716,0.8971704689015716,825.519633948803
yolo11x,000000007088,0,2/255,0.25,0.65,square_attack,0.8828462362289429,0.8828462362289429,0.8828462362289429,117.61437046527863
yolo11x,000000007088,0,2/255,0.45,0.25,odpv,0.8731002807617188,0.8731002807617188,0.8731002807617188,50.81169009208679
yolo11x,000000007088,0,2/255,0.45,0.25,pgd,0.0,0.0,0.0,37.10791206359863
yolo11x,000000007088,0,2/255,0.45,0.25,rcp,0.8969874234475019,0.8969874234475019,0.8969874234475019,836.6953669786453
yolo11x,000000007088,0,2/255,0.45,0.25,square_attack,0.8828462362289429,0.8828462362289429,0.8828462362289429,118.59510684013367
yolo11x,000000007088,0,2/255,0.45,0.45,odpv,0.8731002807617188,0.8731002807617188,0.8731002807617188,52.859917402267456
yolo11x,000000007088,0,2/255,0.45,0.45,pgd,0.0,0.0,0.0,30.612589597702026
yolo11x,000000007088,0,2/255,0.45,0.45,rcp,0.8972994012648139,0.8972994012648139,0.8972994012648139,831.5737951397896
yolo11x,000000007088,0,2/255,0.45,0.45,square_attack,0.8828462362289429,0.8828462362289429,0.8828462362289429,128.55215787887573
yolo11x,000000007088,0,2/255,0.45,0.65,odpv,0.8731004595756531,0.8731004595756531,0.8731004595756531,53.286800384521484
yolo11x,000000007088,0,2/255,0.45,0.65,pgd,0.0,0.0,0.0,21.280797481536865
yolo11x,000000007088,0,2/255,0.45,0.65,rcp,0.897206492359716,0.897206492359716,0.897206492359716,856.2197823524475
yolo11x,000000007088,0,2/255,0.45,0.65,square_attack,0.8828462362289429,0.8828462362289429,0.8828462362289429,128.3007369041443
