model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,iou,iou_0.5,iou_0.7,time
yolo11x,000000007088,0,2/255,0.25,0.25,odpv,0.0,0.0,0.0,139.8126847743988
yolo11x,000000007088,0,2/255,0.25,0.25,pgd,0.0,0.0,0.0,597.7895748615265
yolo11x,000000007088,0,2/255,0.25,0.25,rcp,0.8981882154918092,0.8981882154918092,0.8981882154918092,1242.7420151233673
yolo11x,000000007088,0,2/255,0.25,0.25,square_attack,0.8828462362289429,0.8828462362289429,0.8828462362289429,116.55255860090256
yolo11x,000000007088,0,2/255,0.25,0.45,odpv,0.0,0.0,0.0,145.4531233906746
yolo11x,000000007088,0,2/255,0.25,0.45,pgd,0.0,0.0,0.0,104.2913830280304
yolo11x,000000007088,0,2/255,0.25,0.45,rcp,0.8977944291758551,0.8977944291758551,0.8977944291758551,1249.6561493873596
yolo11x,000000007088,0,2/255,0.25,0.45,square_attack,0.8828462362289429,0.8828462362289429,0.8828462362289429,128.7627254128456
yolo11x,000000007088,0,2/255,0.25,0.65,odpv,0.0,0.0,0.0,146.60869699716568
yolo11x,000000007088,0,2/255,0.25,0.65,pgd,0.0,0.0,0.0,417.8138995170593
yolo11x,000000007088,0,2/255,0.25,0.65,rcp,0.898045276409943,0.898045276409943,0.898045276409943,1262.0368963479996
yolo11x,000000007088,0,2/255,0.25,0.65,square_attack,0.8828462362289429,0.8828462362289429,0.8828462362289429,128.64911073446274
yolo11x,000000007088,0,2/255,0.45,0.25,odpv,0.0,0.0,0.0,144.79895287752151
yolo11x,000000007088,0,2/255,0.45,0.25,pgd,0.0,0.0,0.0,16.95290732383728
yolo11x,000000007088,0,2/255,0.45,0.25,rcp,0.898213978862239,0.898213978862239,0.898213978862239,1243.7306331396103
yolo11x,000000007088,0,2/255,0.45,0.25,square_attack,0.8828462362289429,0.8828462362289429,0.8828462362289429,122.61949074268341
yolo11x,000000007088,0,2/255,0.45,0.45,odpv,0.0,0.0,0.0,145.38380032777786
yolo11x,000000007088,0,2/255,0.45,0.45,pgd,0.0,0.0,0.0,16.19767189025879
yolo11x,000000007088,0,2/255,0.45,0.45,rcp,0.8983096719652411,0.8983096719652411,0.8983096719652411,1258.1386823654175
yolo11x,000000007088,0,2/255,0.45,0.45,square_attack,0.8828462362289429,0.8828462362289429,0.8828462362289429,128.2592875957489
yolo11x,000000007088,0,2/255,0.45,0.65,odpv,0.0,0.0,0.0,139.88633489608765
yolo11x,000000007088,0,2/255,0.45,0.65,pgd,0.0,0.0,0.0,8.378811120986938
yolo11x,000000007088,0,2/255,0.45,0.65,rcp,0.8980962547265733,0.8980962547265733,0.8980962547265733,1246.6062245368958
yolo11x,000000007088,0,2/255,0.45,0.65,square_attack,0.8828462362289429,0.8828462362289429,0.8828462362289429,116.8613937497139
yolo11x,000000007088,0,2/255,0.65,0.25,odpv,0.0,0.0,0.0,146.34607297182083
yolo11x,000000007088,0,2/255,0.65,0.25,pgd,0.0,0.0,0.0,7.107438325881958
yolo11x,000000007088,0,2/255,0.65,0.25,rcp,0.0,0.0,0.0,1244.6557287573814
yolo11x,000000007088,0,2/255,0.65,0.25,square_attack,0.8828462362289429,0.8828462362289429,0.8828462362289429,128.22331374883652
yolo11x,000000007088,0,2/255,0.65,0.45,odpv,0.0,0.0,0.0,148.65371531248093
yolo11x,000000007088,0,2/255,0.65,0.45,pgd,0.0,0.0,0.0,2.5327301025390625
yolo11x,000000007088,0,2/255,0.65,0.45,rcp,0.0,0.0,0.0,1297.0044972896576
yolo11x,000000007088,0,2/255,0.65,0.45,square_attack,0.8828462362289429,0.8828462362289429,0.8828462362289429,118.01670968532562
yolo11x,000000007088,0,2/255,0.65,0.65,odpv,0.0,0.0,0.0,146.08382987976074
yolo11x,000000007088,0,2/255,0.65,0.65,pgd,0.0,0.0,0.0,8.849669694900513
yolo11x,000000007088,0,2/255,0.65,0.65,rcp,0.0,0.0,0.0,1247.0056970715523
yolo11x,000000007088,0,2/255,0.65,0.65,square_attack,0.8828462362289429,0.8828462362289429,0.8828462362289429,118.82558989524841
yolo11x,000000007088,1,2/255,0.25,0.25,odpv,0.0,0.0,0.0,139.8126847743988
yolo11x,000000007088,1,2/255,0.25,0.25,pgd,0.0,0.0,0.0,597.7895748615265
yolo11x,000000007088,1,2/255,0.25,0.25,rcp,0.8562633508104766,0.8562633508104766,0.8562633508104766,1242.7420151233673
yolo11x,000000007088,1,2/255,0.25,0.25,square_attack,0.8360744118690491,0.8360744118690491,0.8360744118690491,116.55255860090256
yolo11x,000000007088,1,2/255,0.25,0.45,odpv,0.0,0.0,0.0,145.4531233906746
yolo11x,000000007088,1,2/255,0.25,0.45,pgd,0.0,0.0,0.0,104.2913830280304
yolo11x,000000007088,1,2/255,0.25,0.45,rcp,0.8562260194501283,0.8562260194501283,0.8562260194501283,1249.6561493873596
yolo11x,000000007088,1,2/255,0.25,0.45,square_attack,0.8360744118690491,0.8360744118690491,0.8360744118690491,128.7627254128456
yolo11x,000000007088,1,2/255,0.25,0.65,odpv,0.0,0.0,0.0,146.60869699716568
yolo11x,000000007088,1,2/255,0.25,0.65,pgd,0.0,0.0,0.0,417.8138995170593
yolo11x,000000007088,1,2/255,0.25,0.65,rcp,0.8561465760005984,0.8561465760005984,0.8561465760005984,1262.0368963479996
yolo11x,000000007088,1,2/255,0.25,0.65,square_attack,0.8360744118690491,0.8360744118690491,0.8360744118690491,128.64911073446274
yolo11x,000000007088,1,2/255,0.45,0.25,odpv,0.0,0.0,0.0,144.79895287752151
yolo11x,000000007088,1,2/255,0.45,0.25,pgd,0.0,0.0,0.0,16.95290732383728
yolo11x,000000007088,1,2/255,0.45,0.25,rcp,0.8563009617891384,0.8563009617891384,0.8563009617891384,1243.7306331396103
yolo11x,000000007088,1,2/255,0.45,0.25,square_attack,0.8360744118690491,0.8360744118690491,0.8360744118690491,122.61949074268341
yolo11x,000000007088,1,2/255,0.45,0.45,odpv,0.0,0.0,0.0,145.38380032777786
yolo11x,000000007088,1,2/255,0.45,0.45,pgd,0.0,0.0,0.0,16.19767189025879
yolo11x,000000007088,1,2/255,0.45,0.45,rcp,0.8563413788702697,0.8563413788702697,0.8563413788702697,1258.1386823654175
yolo11x,000000007088,1,2/255,0.45,0.45,square_attack,0.8360744118690491,0.8360744118690491,0.8360744118690491,128.2592875957489
yolo11x,000000007088,1,2/255,0.45,0.65,odpv,0.0,0.0,0.0,139.88633489608765
yolo11x,000000007088,1,2/255,0.45,0.65,pgd,0.0,0.0,0.0,8.378811120986938
yolo11x,000000007088,1,2/255,0.45,0.65,rcp,0.856468910876164,0.856468910876164,0.856468910876164,1246.6062245368958
yolo11x,000000007088,1,2/255,0.45,0.65,square_attack,0.8360744118690491,0.8360744118690491,0.8360744118690491,116.8613937497139
yolo11x,000000007088,1,2/255,0.65,0.25,odpv,0.0,0.0,0.0,146.34607297182083
yolo11x,000000007088,1,2/255,0.65,0.25,pgd,0.0,0.0,0.0,7.107438325881958
yolo11x,000000007088,1,2/255,0.65,0.25,rcp,0.8562193058764207,0.8562193058764207,0.8562193058764207,1244.6557287573814
yolo11x,000000007088,1,2/255,0.65,0.25,square_attack,0.8360744118690491,0.8360744118690491,0.8360744118690491,128.22331374883652
yolo11x,000000007088,1,2/255,0.65,0.45,odpv,0.0,0.0,0.0,148.65371531248093
yolo11x,000000007088,1,2/255,0.65,0.45,pgd,0.0,0.0,0.0,2.5327301025390625
yolo11x,000000007088,1,2/255,0.65,0.45,rcp,0.8563917353245842,0.8563917353245842,0.8563917353245842,1297.0044972896576
yolo11x,000000007088,1,2/255,0.65,0.45,square_attack,0.8360744118690491,0.8360744118690491,0.8360744118690491,118.01670968532562
yolo11x,000000007088,1,2/255,0.65,0.65,odpv,0.0,0.0,0.0,146.08382987976074
yolo11x,000000007088,1,2/255,0.65,0.65,pgd,0.0,0.0,0.0,8.849669694900513
yolo11x,000000007088,1,2/255,0.65,0.65,rcp,0.8558235716135737,0.8558235716135737,0.8558235716135737,1247.0056970715523
yolo11x,000000007088,1,2/255,0.65,0.65,square_attack,0.8360744118690491,0.8360744118690491,0.8360744118690491,118.82558989524841
yolo11x,000000007088,2,2/255,0.25,0.25,odpv,0.0,0.0,0.0,139.8126847743988
yolo11x,000000007088,2,2/255,0.25,0.25,pgd,0.0,0.0,0.0,597.7895748615265
yolo11x,000000007088,2,2/255,0.25,0.25,rcp,0.9433880838090234,0.9433880838090234,0.9433880838090234,1242.7420151233673
yolo11x,000000007088,2,2/255,0.25,0.25,square_attack,0.9225260019302368,0.9225260019302368,0.9225260019302368,116.55255860090256
yolo11x,000000007088,2,2/255,0.25,0.45,odpv,0.0,0.0,0.0,145.4531233906746
yolo11x,000000007088,2,2/255,0.25,0.45,pgd,0.0,0.0,0.0,104.2913830280304
yolo11x,000000007088,2,2/255,0.25,0.45,rcp,0.9433301936714344,0.9433301936714344,0.9433301936714344,1249.6561493873596
yolo11x,000000007088,2,2/255,0.25,0.45,square_attack,0.9225260019302368,0.9225260019302368,0.9225260019302368,128.7627254128456
yolo11x,000000007088,2,2/255,0.25,0.65,odpv,0.0,0.0,0.0,146.60869699716568
yolo11x,000000007088,2,2/255,0.25,0.65,pgd,0.0,0.0,0.0,417.8138995170593
yolo11x,000000007088,2,2/255,0.25,0.65,rcp,0.9433988525570001,0.9433988525570001,0.9433988525570001,1262.0368963479996
yolo11x,000000007088,2,2/255,0.25,0.65,square_attack,0.9225260019302368,0.9225260019302368,0.9225260019302368,128.64911073446274
yolo11x,000000007088,2,2/255,0.45,0.25,odpv,0.0,0.0,0.0,144.79895287752151
yolo11x,000000007088,2,2/255,0.45,0.25,pgd,0.0,0.0,0.0,16.95290732383728
yolo11x,000000007088,2,2/255,0.45,0.25,rcp,0.9433595792311135,0.9433595792311135,0.9433595792311135,1243.7306331396103
yolo11x,000000007088,2,2/255,0.45,0.25,square_attack,0.9225260019302368,0.9225260019302368,0.9225260019302368,122.61949074268341
yolo11x,000000007088,2,2/255,0.45,0.45,odpv,0.0,0.0,0.0,145.38380032777786
yolo11x,000000007088,2,2/255,0.45,0.45,pgd,0.0,0.0,0.0,16.19767189025879
yolo11x,000000007088,2,2/255,0.45,0.45,rcp,0.9434623194242054,0.9434623194242054,0.9434623194242054,1258.1386823654175
yolo11x,000000007088,2,2/255,0.45,0.45,square_attack,0.9225260019302368,0.9225260019302368,0.9225260019302368,128.2592875957489
yolo11x,000000007088,2,2/255,0.45,0.65,odpv,0.0,0.0,0.0,139.88633489608765
yolo11x,000000007088,2,2/255,0.45,0.65,pgd,0.0,0.0,0.0,8.378811120986938
yolo11x,000000007088,2,2/255,0.45,0.65,rcp,0.9434677201141857,0.9434677201141857,0.9434677201141857,1246.6062245368958
yolo11x,000000007088,2,2/255,0.45,0.65,square_attack,0.9225260019302368,0.9225260019302368,0.9225260019302368,116.8613937497139
yolo11x,000000007088,2,2/255,0.65,0.25,odpv,0.0,0.0,0.0,146.34607297182083
yolo11x,000000007088,2,2/255,0.65,0.25,pgd,0.0,0.0,0.0,7.107438325881958
yolo11x,000000007088,2,2/255,0.65,0.25,rcp,0.9434816503411478,0.9434816503411478,0.9434816503411478,1244.6557287573814
yolo11x,000000007088,2,2/255,0.65,0.25,square_attack,0.9225260019302368,0.9225260019302368,0.9225260019302368,128.22331374883652
yolo11x,000000007088,2,2/255,0.65,0.45,odpv,0.0,0.0,0.0,148.65371531248093
yolo11x,000000007088,2,2/255,0.65,0.45,pgd,0.0,0.0,0.0,2.5327301025390625
yolo11x,000000007088,2,2/255,0.65,0.45,rcp,0.9434593922125227,0.9434593922125227,0.9434593922125227,1297.0044972896576
yolo11x,000000007088,2,2/255,0.65,0.45,square_attack,0.9225260019302368,0.9225260019302368,0.9225260019302368,118.01670968532562
yolo11x,000000007088,2,2/255,0.65,0.65,odpv,0.0,0.0,0.0,146.08382987976074
yolo11x,000000007088,2,2/255,0.65,0.65,pgd,0.0,0.0,0.0,8.849669694900513
yolo11x,000000007088,2,2/255,0.65,0.65,rcp,0.9432733360684531,0.9432733360684531,0.9432733360684531,1247.0056970715523
yolo11x,000000007088,2,2/255,0.65,0.65,square_attack,0.9225260019302368,0.9225260019302368,0.9225260019302368,118.82558989524841
yolo11x,000000007088,3,2/255,0.25,0.25,odpv,0.0,0.0,0.0,139.8126847743988
yolo11x,000000007088,3,2/255,0.25,0.25,pgd,0.0,0.0,0.0,597.7895748615265
yolo11x,000000007088,3,2/255,0.25,0.25,rcp,0.0,0.0,0.0,1242.7420151233673
yolo11x,000000007088,3,2/255,0.25,0.25,square_attack,0.0,0.0,0.0,116.55255860090256
yolo11x,000000007088,3,2/255,0.25,0.45,odpv,0.0,0.0,0.0,145.4531233906746
yolo11x,000000007088,3,2/255,0.25,0.45,pgd,0.0,0.0,0.0,104.2913830280304
yolo11x,000000007088,3,2/255,0.25,0.45,rcp,0.0,0.0,0.0,1249.6561493873596
yolo11x,000000007088,3,2/255,0.25,0.45,square_attack,0.0,0.0,0.0,128.7627254128456
yolo11x,000000007088,3,2/255,0.25,0.65,odpv,0.0,0.0,0.0,146.60869699716568
yolo11x,000000007088,3,2/255,0.25,0.65,pgd,0.0,0.0,0.0,417.8138995170593
yolo11x,000000007088,3,2/255,0.25,0.65,rcp,0.0,0.0,0.0,1262.0368963479996
yolo11x,000000007088,3,2/255,0.25,0.65,square_attack,0.0,0.0,0.0,128.64911073446274
yolo11x,000000007088,3,2/255,0.45,0.25,odpv,0.0,0.0,0.0,144.79895287752151
yolo11x,000000007088,3,2/255,0.45,0.25,pgd,0.0,0.0,0.0,16.95290732383728
yolo11x,000000007088,3,2/255,0.45,0.25,rcp,0.0,0.0,0.0,1243.7306331396103
yolo11x,000000007088,3,2/255,0.45,0.25,square_attack,0.0,0.0,0.0,122.61949074268341
yolo11x,000000007088,3,2/255,0.45,0.45,odpv,0.0,0.0,0.0,145.38380032777786
yolo11x,000000007088,3,2/255,0.45,0.45,pgd,0.0,0.0,0.0,16.19767189025879
yolo11x,000000007088,3,2/255,0.45,0.45,rcp,0.0,0.0,0.0,1258.1386823654175
yolo11x,000000007088,3,2/255,0.45,0.45,square_attack,0.0,0.0,0.0,128.2592875957489
yolo11x,000000007088,3,2/255,0.45,0.65,odpv,0.0,0.0,0.0,139.88633489608765
yolo11x,000000007088,3,2/255,0.45,0.65,pgd,0.0,0.0,0.0,8.378811120986938
yolo11x,000000007088,3,2/255,0.45,0.65,rcp,0.0,0.0,0.0,1246.6062245368958
yolo11x,000000007088,3,2/255,0.45,0.65,square_attack,0.0,0.0,0.0,116.8613937497139
yolo11x,000000007088,3,2/255,0.65,0.25,odpv,0.0,0.0,0.0,146.34607297182083
yolo11x,000000007088,3,2/255,0.65,0.25,pgd,0.0,0.0,0.0,7.107438325881958
yolo11x,000000007088,3,2/255,0.65,0.25,rcp,0.0,0.0,0.0,1244.6557287573814
yolo11x,000000007088,3,2/255,0.65,0.25,square_attack,0.0,0.0,0.0,128.22331374883652
yolo11x,000000007088,3,2/255,0.65,0.45,odpv,0.0,0.0,0.0,148.65371531248093
yolo11x,000000007088,3,2/255,0.65,0.45,pgd,0.0,0.0,0.0,2.5327301025390625
yolo11x,000000007088,3,2/255,0.65,0.45,rcp,0.0,0.0,0.0,1297.0044972896576
yolo11x,000000007088,3,2/255,0.65,0.45,square_attack,0.0,0.0,0.0,118.01670968532562
yolo11x,000000007088,3,2/255,0.65,0.65,odpv,0.0,0.0,0.0,146.08382987976074
yolo11x,000000007088,3,2/255,0.65,0.65,pgd,0.0,0.0,0.0,8.849669694900513
yolo11x,000000007088,3,2/255,0.65,0.65,rcp,0.0,0.0,0.0,1247.0056970715523
yolo11x,000000007088,3,2/255,0.65,0.65,square_attack,0.0,0.0,0.0,118.82558989524841
yolo11x,000000014380,0,2/255,0.25,0.25,odpv,0.0,0.0,0.0,292.6855480670929
yolo11x,000000014380,0,2/255,0.25,0.25,pgd,0.0,0.0,0.0,3.192446231842041
yolo11x,000000014380,0,2/255,0.25,0.25,rcp,0.8525415486026106,0.8525415486026106,0.8525415486026106,2275.5286301374435
yolo11x,000000014380,0,2/255,0.25,0.25,square_attack,0.0,0.0,0.0,116.08033192157745
yolo11x,000000014380,0,2/255,0.25,0.45,odpv,0.0,0.0,0.0,290.71732234954834
yolo11x,000000014380,0,2/255,0.25,0.45,pgd,0.0,0.0,0.0,3.202061176300049
yolo11x,000000014380,0,2/255,0.25,0.45,rcp,0.8521002666157548,0.8521002666157548,0.8521002666157548,2350.8646490573883
yolo11x,000000014380,0,2/255,0.25,0.45,square_attack,0.0,0.0,0.0,107.08847570419312
yolo11x,000000014380,0,2/255,0.25,0.65,odpv,0.0,0.0,0.0,292.6188703775406
yolo11x,000000014380,0,2/255,0.25,0.65,pgd,0.0,0.0,0.0,6.059032201766968
yolo11x,000000014380,0,2/255,0.25,0.65,rcp,0.8520323229717226,0.8520323229717226,0.8520323229717226,2328.9469122886658
yolo11x,000000014380,0,2/255,0.25,0.65,square_attack,0.0,0.0,0.0,116.40037989616394
yolo11x,000000014380,0,2/255,0.45,0.25,odpv,0.0,0.0,0.0,295.7464772462845
yolo11x,000000014380,0,2/255,0.45,0.25,pgd,0.0,0.0,0.0,2.5730395317077637
yolo11x,000000014380,0,2/255,0.45,0.25,rcp,0.8521929113690839,0.8521929113690839,0.8521929113690839,2331.155091047287
yolo11x,000000014380,0,2/255,0.45,0.25,square_attack,0.0,0.0,0.0,95.2000093460083
yolo11x,000000014380,0,2/255,0.45,0.45,odpv,0.0,0.0,0.0,290.7253499031067
yolo11x,000000014380,0,2/255,0.45,0.45,pgd,0.0,0.0,0.0,5.26893424987793
yolo11x,000000014380,0,2/255,0.45,0.45,rcp,0.8531735725465455,0.8531735725465455,0.8531735725465455,2329.724330306053
yolo11x,000000014380,0,2/255,0.45,0.45,square_attack,0.0,0.0,0.0,92.55654454231262
yolo11x,000000014380,0,2/255,0.45,0.65,odpv,0.0,0.0,0.0,292.83350229263306
yolo11x,000000014380,0,2/255,0.45,0.65,pgd,0.0,0.0,0.0,2.607651948928833
yolo11x,000000014380,0,2/255,0.45,0.65,rcp,0.8530020759760342,0.8530020759760342,0.8530020759760342,2256.259411931038
yolo11x,000000014380,0,2/255,0.45,0.65,square_attack,0.0,0.0,0.0,103.87707471847534
yolo11x,000000014380,0,2/255,0.65,0.25,odpv,0.0,0.0,0.0,279.49287807941437
yolo11x,000000014380,0,2/255,0.65,0.25,pgd,0.0,0.0,0.0,2.584343194961548
yolo11x,000000014380,0,2/255,0.65,0.25,rcp,0.0,0.0,0.0,2252.1273139715195
yolo11x,000000014380,0,2/255,0.65,0.25,square_attack,0.0,0.0,0.0,86.13774132728577
yolo11x,000000014380,0,2/255,0.65,0.45,odpv,0.0,0.0,0.0,290.40946090221405
yolo11x,000000014380,0,2/255,0.65,0.45,pgd,0.0,0.0,0.0,3.985455274581909
yolo11x,000000014380,0,2/255,0.65,0.45,rcp,0.0,0.0,0.0,2318.116001367569
yolo11x,000000014380,0,2/255,0.65,0.45,square_attack,0.0,0.0,0.0,86.31308913230896
yolo11x,000000014380,0,2/255,0.65,0.65,odpv,0.0,0.0,0.0,297.37920570373535
yolo11x,000000014380,0,2/255,0.65,0.65,pgd,0.0,0.0,0.0,4.224035263061523
yolo11x,000000014380,0,2/255,0.65,0.65,rcp,0.0,0.0,0.0,2281.3430453538895
yolo11x,000000014380,0,2/255,0.65,0.65,square_attack,0.0,0.0,0.0,81.39752674102783
yolo11x,000000014380,1,2/255,0.25,0.25,odpv,0.0,0.0,0.0,292.6855480670929
yolo11x,000000014380,1,2/255,0.25,0.25,pgd,0.0,0.0,0.0,3.192446231842041
yolo11x,000000014380,1,2/255,0.25,0.25,rcp,0.9631837513420081,0.9631837513420081,0.9631837513420081,2275.5286301374435
yolo11x,000000014380,1,2/255,0.25,0.25,square_attack,0.916425347328186,0.916425347328186,0.916425347328186,116.08033192157745
yolo11x,000000014380,1,2/255,0.25,0.45,odpv,0.0,0.0,0.0,290.71732234954834
yolo11x,000000014380,1,2/255,0.25,0.45,pgd,0.0,0.0,0.0,3.202061176300049
yolo11x,000000014380,1,2/255,0.25,0.45,rcp,0.9635220011096709,0.9635220011096709,0.9635220011096709,2350.8646490573883
yolo11x,000000014380,1,2/255,0.25,0.45,square_attack,0.916425347328186,0.916425347328186,0.916425347328186,107.08847570419312
yolo11x,000000014380,1,2/255,0.25,0.65,odpv,0.0,0.0,0.0,292.6188703775406
yolo11x,000000014380,1,2/255,0.25,0.65,pgd,0.0,0.0,0.0,6.059032201766968
yolo11x,000000014380,1,2/255,0.25,0.65,rcp,0.9632882201755515,0.9632882201755515,0.9632882201755515,2328.9469122886658
yolo11x,000000014380,1,2/255,0.25,0.65,square_attack,0.916425347328186,0.916425347328186,0.916425347328186,116.40037989616394
yolo11x,000000014380,1,2/255,0.45,0.25,odpv,0.0,0.0,0.0,295.7464772462845
yolo11x,000000014380,1,2/255,0.45,0.25,pgd,0.0,0.0,0.0,2.5730395317077637
yolo11x,000000014380,1,2/255,0.45,0.25,rcp,0.9631920623467226,0.9631920623467226,0.9631920623467226,2331.155091047287
yolo11x,000000014380,1,2/255,0.45,0.25,square_attack,0.916425347328186,0.916425347328186,0.916425347328186,95.2000093460083
yolo11x,000000014380,1,2/255,0.45,0.45,odpv,0.0,0.0,0.0,290.7253499031067
yolo11x,000000014380,1,2/255,0.45,0.45,pgd,0.0,0.0,0.0,5.26893424987793
yolo11x,000000014380,1,2/255,0.45,0.45,rcp,0.963403015432438,0.963403015432438,0.963403015432438,2329.724330306053
yolo11x,000000014380,1,2/255,0.45,0.45,square_attack,0.916425347328186,0.916425347328186,0.916425347328186,92.55654454231262
yolo11x,000000014380,1,2/255,0.45,0.65,odpv,0.0,0.0,0.0,292.83350229263306
yolo11x,000000014380,1,2/255,0.45,0.65,pgd,0.0,0.0,0.0,2.607651948928833
yolo11x,000000014380,1,2/255,0.45,0.65,rcp,0.9628204039132562,0.9628204039132562,0.9628204039132562,2256.259411931038
yolo11x,000000014380,1,2/255,0.45,0.65,square_attack,0.916425347328186,0.916425347328186,0.916425347328186,103.87707471847534
yolo11x,000000014380,1,2/255,0.65,0.25,odpv,0.0,0.0,0.0,279.49287807941437
yolo11x,000000014380,1,2/255,0.65,0.25,pgd,0.0,0.0,0.0,2.584343194961548
yolo11x,000000014380,1,2/255,0.65,0.25,rcp,0.9635850019716288,0.9635850019716288,0.9635850019716288,2252.1273139715195
yolo11x,000000014380,1,2/255,0.65,0.25,square_attack,0.916425347328186,0.916425347328186,0.916425347328186,86.13774132728577
yolo11x,000000014380,1,2/255,0.65,0.45,odpv,0.0,0.0,0.0,290.40946090221405
yolo11x,000000014380,1,2/255,0.65,0.45,pgd,0.0,0.0,0.0,3.985455274581909
yolo11x,000000014380,1,2/255,0.65,0.45,rcp,0.9629429165763131,0.9629429165763131,0.9629429165763131,2318.116001367569
yolo11x,000000014380,1,2/255,0.65,0.45,square_attack,0.916425347328186,0.916425347328186,0.916425347328186,86.31308913230896
yolo11x,000000014380,1,2/255,0.65,0.65,odpv,0.0,0.0,0.0,297.37920570373535
yolo11x,000000014380,1,2/255,0.65,0.65,pgd,0.0,0.0,0.0,4.224035263061523
yolo11x,000000014380,1,2/255,0.65,0.65,rcp,0.963418718852643,0.963418718852643,0.963418718852643,2281.3430453538895
yolo11x,000000014380,1,2/255,0.65,0.65,square_attack,0.916425347328186,0.916425347328186,0.916425347328186,81.39752674102783
yolo11x,000000065485,0,2/255,0.25,0.25,odpv,0.0,0.0,0.0,279.34010565280914
yolo11x,000000065485,0,2/255,0.25,0.25,pgd,0.0,0.0,0.0,2.631835699081421
yolo11x,000000065485,0,2/255,0.25,0.25,rcp,0.9888386776020515,0.9888386776020515,0.9888386776020515,1996.5920737981796
yolo11x,000000065485,0,2/255,0.25,0.25,square_attack,0.9792515635490417,0.9792515635490417,0.9792515635490417,85.53675413131714
yolo11x,000000065485,0,2/255,0.25,0.45,odpv,0.0,0.0,0.0,290.7679371833801
yolo11x,000000065485,0,2/255,0.25,0.45,pgd,0.0,0.0,0.0,2.2466893196105957
yolo11x,000000065485,0,2/255,0.25,0.45,rcp,0.9888284015037972,0.9888284015037972,0.9888284015037972,1999.4362751245499
yolo11x,000000065485,0,2/255,0.25,0.45,square_attack,0.9792515635490417,0.9792515635490417,0.9792515635490417,86.08110702037811
yolo11x,000000065485,0,2/255,0.25,0.65,odpv,0.0,0.0,0.0,299.06267642974854
yolo11x,000000065485,0,2/255,0.25,0.65,pgd,0.0,0.0,0.0,2.30218243598938
yolo11x,000000065485,0,2/255,0.25,0.65,rcp,0.9889309467957389,0.9889309467957389,0.9889309467957389,1907.055057168007
yolo11x,000000065485,0,2/255,0.25,0.65,square_attack,0.9792515635490417,0.9792515635490417,0.9792515635490417,85.51465201377869
yolo11x,000000065485,0,2/255,0.45,0.25,odpv,0.0,0.0,0.0,290.7713226079941
yolo11x,000000065485,0,2/255,0.45,0.25,pgd,0.0,0.0,0.0,1.9675946235656738
yolo11x,000000065485,0,2/255,0.45,0.25,rcp,0.989067447822119,0.989067447822119,0.989067447822119,2004.2159634828568
yolo11x,000000065485,0,2/255,0.45,0.25,square_attack,0.9792515635490417,0.9792515635490417,0.9792515635490417,79.09257698059082
yolo11x,000000065485,0,2/255,0.45,0.45,odpv,0.0,0.0,0.0,292.6583284139633
yolo11x,000000065485,0,2/255,0.45,0.45,pgd,0.0,0.0,0.0,2.1243743896484375
yolo11x,000000065485,0,2/255,0.45,0.45,rcp,0.9891678307471077,0.9891678307471077,0.9891678307471077,2001.4415613412857
yolo11x,000000065485,0,2/255,0.45,0.45,square_attack,0.9792515635490417,0.9792515635490417,0.9792515635490417,80.81521308422089
yolo11x,000000065485,0,2/255,0.45,0.65,odpv,0.0,0.0,0.0,279.44932997226715
yolo11x,000000065485,0,2/255,0.45,0.65,pgd,0.0,0.0,0.0,2.074399709701538
yolo11x,000000065485,0,2/255,0.45,0.65,rcp,0.9890534515455089,0.9890534515455089,0.9890534515455089,1997.175882935524
yolo11x,000000065485,0,2/255,0.45,0.65,square_attack,0.9792515635490417,0.9792515635490417,0.9792515635490417,86.29449152946472
yolo11x,000000065485,0,2/255,0.65,0.25,odpv,0.0,0.0,0.0,290.76073229312897
yolo11x,000000065485,0,2/255,0.65,0.25,pgd,0.0,0.0,0.0,2.0928332805633545
yolo11x,000000065485,0,2/255,0.65,0.25,rcp,0.9890684860080989,0.9890684860080989,0.9890684860080989,1915.7670851945877
yolo11x,000000065485,0,2/255,0.65,0.25,square_attack,0.9792515635490417,0.9792515635490417,0.9792515635490417,78.20960450172424
