model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,target_method,iou_0.5,iou_0.7,iou,time,iou_0.5_target,iou_0.7_target,iou_target,delta_0.5,delta_0.7,delta,TP_0.5,TP_0.7,FP_0.5,FP_0.7,FN_0.5,FN_0.7,TN_0.5,TN_0.7
yolo11x,7088,0,1/255,0.25,0.25,rcp,pgd,0.898696596618649,0.898696596618649,0.898696596618649,1233.3229507803917,0.0,0.0,0.3325175940990448,0.898696596618649,0.898696596618649,0.5661790025196042,False,False,True,True,False,False,False,False
yolo11x,7088,0,1/255,0.25,0.25,rcp,square_attack,0.898696596618649,0.898696596618649,0.898696596618649,1233.3229507803917,0.8915008306503296,0.8915008306503296,0.8915008306503296,0.00719576596831939,0.00719576596831939,0.00719576596831939,True,True,False,False,False,False,False,False
yolo11x,7088,0,1/255,0.25,0.25,rcp,rcp,0.898696596618649,0.898696596618649,0.898696596618649,1233.3229507803917,0.898696596618649,0.898696596618649,0.898696596618649,0.0,0.0,0.0,True,True,False,False,False,False,False,False
yolo11x,7088,0,1/255,0.25,0.25,odpv,pgd,0.0,0.0,0.0,299.30053794384,0.0,0.0,0.3325175940990448,0.0,0.0,0.3325175940990448,False,False,False,False,False,False,True,True
yolo11x,7088,0,1/255,0.25,0.25,odpv,square_attack,0.0,0.0,0.0,299.30053794384,0.8915008306503296,0.8915008306503296,0.8915008306503296,0.8915008306503296,0.8915008306503296,0.8915008306503296,False,False,False,False,True,True,False,False
yolo11x,7088,0,1/255,0.25,0.25,odpv,rcp,0.0,0.0,0.0,299.30053794384,0.898696596618649,0.898696596618649,0.898696596618649,0.898696596618649,0.898696596618649,0.898696596618649,False,False,False,False,True,True,False,False
yolo11x,7088,0,1/255,0.25,0.45,rcp,pgd,0.8987558523310933,0.8987558523310933,0.8987558523310933,1256.921620905399,0.0,0.0,0.4122012257575989,0.8987558523310933,0.8987558523310933,0.48655462657349446,False,False,True,True,False,False,False,False
yolo11x,7088,0,1/255,0.25,0.45,rcp,square_attack,0.8987558523310933,0.8987558523310933,0.8987558523310933,1256.921620905399,0.8915008306503296,0.8915008306503296,0.8915008306503296,0.007255021680763751,0.007255021680763751,0.007255021680763751,True,True,False,False,False,False,False,False
yolo11x,7088,0,1/255,0.25,0.45,rcp,rcp,0.8987558523310933,0.8987558523310933,0.8987558523310933,1256.921620905399,0.8987558523310933,0.8987558523310933,0.8987558523310933,0.0,0.0,0.0,True,True,False,False,False,False,False,False
yolo11x,7088,0,1/255,0.25,0.45,odpv,pgd,0.0,0.0,0.0,235.93153578042984,0.0,0.0,0.4122012257575989,0.0,0.0,0.4122012257575989,False,False,False,False,False,False,True,True
yolo11x,7088,0,1/255,0.25,0.45,odpv,square_attack,0.0,0.0,0.0,235.93153578042984,0.8915008306503296,0.8915008306503296,0.8915008306503296,0.8915008306503296,0.8915008306503296,0.8915008306503296,False,False,False,False,True,True,False,False
yolo11x,7088,0,1/255,0.25,0.45,odpv,rcp,0.0,0.0,0.0,235.93153578042984,0.8987558523310933,0.8987558523310933,0.8987558523310933,0.8987558523310933,0.8987558523310933,0.8987558523310933,False,False,False,False,True,True,False,False
yolo11x,7088,0,1/255,0.25,0.65,rcp,pgd,0.8988985754257204,0.8988985754257204,0.8988985754257204,1257.3437525629995,0.0,0.0,0.3804388344287872,0.8988985754257204,0.8988985754257204,0.5184597409969331,False,False,True,True,False,False,False,False
yolo11x,7088,0,1/255,0.25,0.65,rcp,square_attack,0.8988985754257204,0.8988985754257204,0.8988985754257204,1257.3437525629995,0.8915008306503296,0.8915008306503296,0.8915008306503296,0.007397744775390791,0.007397744775390791,0.007397744775390791,True,True,False,False,False,False,False,False
yolo11x,7088,0,1/255,0.25,0.65,rcp,rcp,0.8988985754257204,0.8988985754257204,0.8988985754257204,1257.3437525629995,0.8988985754257204,0.8988985754257204,0.8988985754257204,0.0,0.0,0.0,True,True,False,False,False,False,False,False
yolo11x,7088,0,1/255,0.25,0.65,odpv,pgd,0.0,0.0,0.0,147.5754747390747,0.0,0.0,0.3804388344287872,0.0,0.0,0.3804388344287872,False,False,False,False,False,False,True,True
yolo11x,7088,0,1/255,0.25,0.65,odpv,square_attack,0.0,0.0,0.0,147.5754747390747,0.8915008306503296,0.8915008306503296,0.8915008306503296,0.8915008306503296,0.8915008306503296,0.8915008306503296,False,False,False,False,True,True,False,False
