model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,target_method,iou_0.5,iou_0.7,iou,time,iou_0.5_target,iou_0.7_target,iou_target,delta_0.5,delta_0.7,delta,TP_0.5,TP_0.7,FP_0.5,FP_0.7,FN_0.5,FN_0.7,TN_0.5,TN_0.7
yolo11x,7088,0,2/255,0.25,0.25,rcp,pgd,0.8981882154918092,0.8981882154918092,0.8981882154918092,1242.7420151233673,0.0,0.0,0.0,0.8981882154918092,0.8981882154918092,0.8981882154918092,False,False,True,True,False,False,False,False
yolo11x,7088,0,2/255,0.25,0.25,odpv,pgd,0.0,0.0,0.0,139.8126847743988,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,0,2/255,0.25,0.45,rcp,pgd,0.8977944291758551,0.8977944291758551,0.8977944291758551,1249.6561493873596,0.0,0.0,0.0,0.8977944291758551,0.8977944291758551,0.8977944291758551,False,False,True,True,False,False,False,False
yolo11x,7088,0,2/255,0.25,0.45,odpv,pgd,0.0,0.0,0.0,145.4531233906746,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,0,2/255,0.25,0.65,rcp,pgd,0.898045276409943,0.898045276409943,0.898045276409943,1262.0368963479996,0.0,0.0,0.0,0.898045276409943,0.898045276409943,0.898045276409943,False,False,True,True,False,False,False,False
yolo11x,7088,0,2/255,0.25,0.65,odpv,pgd,0.0,0.0,0.0,146.60869699716568,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,0,2/255,0.45,0.25,rcp,pgd,0.898213978862239,0.898213978862239,0.898213978862239,1243.7306331396103,0.0,0.0,0.0,0.898213978862239,0.898213978862239,0.898213978862239,False,False,True,True,False,False,False,False
yolo11x,7088,0,2/255,0.45,0.25,odpv,pgd,0.0,0.0,0.0,144.79895287752151,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,0,2/255,0.45,0.45,rcp,pgd,0.8983096719652411,0.8983096719652411,0.8983096719652411,1258.1386823654177,0.0,0.0,0.0,0.8983096719652411,0.8983096719652411,0.8983096719652411,False,False,True,True,False,False,False,False
yolo11x,7088,0,2/255,0.45,0.45,odpv,pgd,0.0,0.0,0.0,145.38380032777786,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,0,2/255,0.45,0.65,rcp,pgd,0.8980962547265733,0.8980962547265733,0.8980962547265733,1246.6062245368958,0.0,0.0,0.0,0.8980962547265733,0.8980962547265733,0.8980962547265733,False,False,True,True,False,False,False,False
yolo11x,7088,0,2/255,0.45,0.65,odpv,pgd,0.0,0.0,0.0,139.88633489608765,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,0,2/255,0.65,0.25,rcp,pgd,0.0,0.0,0.0,1244.6557287573814,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,0,2/255,0.65,0.25,odpv,pgd,0.0,0.0,0.0,146.34607297182083,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,0,2/255,0.65,0.45,rcp,pgd,0.0,0.0,0.0,1297.0044972896576,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,0,2/255,0.65,0.45,odpv,pgd,0.0,0.0,0.0,148.65371531248093,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,0,2/255,0.65,0.65,rcp,pgd,0.0,0.0,0.0,1247.0056970715525,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,0,2/255,0.65,0.65,odpv,pgd,0.0,0.0,0.0,146.08382987976074,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,1,2/255,0.25,0.25,rcp,pgd,0.8562633508104766,0.8562633508104766,0.8562633508104766,1242.7420151233673,0.0,0.0,0.0,0.8562633508104766,0.8562633508104766,0.8562633508104766,False,False,True,True,False,False,False,False
yolo11x,7088,1,2/255,0.25,0.25,odpv,pgd,0.0,0.0,0.0,139.8126847743988,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,1,2/255,0.25,0.45,rcp,pgd,0.8562260194501283,0.8562260194501283,0.8562260194501283,1249.6561493873596,0.0,0.0,0.0,0.8562260194501283,0.8562260194501283,0.8562260194501283,False,False,True,True,False,False,False,False
yolo11x,7088,1,2/255,0.25,0.45,odpv,pgd,0.0,0.0,0.0,145.4531233906746,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,1,2/255,0.25,0.65,rcp,pgd,0.8561465760005984,0.8561465760005984,0.8561465760005984,1262.0368963479996,0.0,0.0,0.0,0.8561465760005984,0.8561465760005984,0.8561465760005984,False,False,True,True,False,False,False,False
yolo11x,7088,1,2/255,0.25,0.65,odpv,pgd,0.0,0.0,0.0,146.60869699716568,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,1,2/255,0.45,0.25,rcp,pgd,0.8563009617891384,0.8563009617891384,0.8563009617891384,1243.7306331396103,0.0,0.0,0.0,0.8563009617891384,0.8563009617891384,0.8563009617891384,False,False,True,True,False,False,False,False
yolo11x,7088,1,2/255,0.45,0.25,odpv,pgd,0.0,0.0,0.0,144.79895287752151,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,1,2/255,0.45,0.45,rcp,pgd,0.8563413788702697,0.8563413788702697,0.8563413788702697,1258.1386823654177,0.0,0.0,0.0,0.8563413788702697,0.8563413788702697,0.8563413788702697,False,False,True,True,False,False,False,False
yolo11x,7088,1,2/255,0.45,0.45,odpv,pgd,0.0,0.0,0.0,145.38380032777786,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
