model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,target_method,iou_0.5,iou_0.7,iou,time,iou_0.5_target,iou_0.7_target,iou_target,delta_0.5,delta_0.7,delta,TP_0.5,TP_0.7,FP_0.5,FP_0.7,FN_0.5,FN_0.7,TN_0.5,TN_0.7
yolo11x,7088,0,2/255,0.25,0.25,rcp,pgd,0.8973173344586335,0.8973173344586335,0.8973173344586335,885.6504153013229,0.0,0.0,0.0,0.8973173344586335,0.8973173344586335,0.8973173344586335,False,False,True,True,False,False,False,False
yolo11x,7088,0,2/255,0.25,0.25,rcp,square_attack,0.8973173344586335,0.8973173344586335,0.8973173344586335,885.6504153013229,0.8828462362289429,0.8828462362289429,0.8828462362289429,0.014471098229690615,0.014471098229690615,0.014471098229690615,True,True,False,False,False,False,False,False
yolo11x,7088,0,2/255,0.25,0.25,rcp,rcp,0.8973173344586335,0.8973173344586335,0.8973173344586335,885.6504153013229,0.8973173344586335,0.8973173344586335,0.8973173344586335,0.0,0.0,0.0,True,True,False,False,False,False,False,False
yolo11x,7088,0,2/255,0.25,0.25,odpv,pgd,0.8728452324867249,0.8728452324867249,0.8728452324867249,53.15642523765564,0.0,0.0,0.0,0.8728452324867249,0.8728452324867249,0.8728452324867249,False,False,True,True,False,False,False,False
yolo11x,7088,0,2/255,0.25,0.25,odpv,square_attack,0.8728452324867249,0.8728452324867249,0.8728452324867249,53.15642523765564,0.8828462362289429,0.8828462362289429,0.8828462362289429,0.010001003742218018,0.010001003742218018,0.010001003742218018,True,True,False,False,False,False,False,False
yolo11x,7088,0,2/255,0.25,0.25,odpv,rcp,0.8728452324867249,0.8728452324867249,0.8728452324867249,53.15642523765564,0.8973173344586335,0.8973173344586335,0.8973173344586335,0.024472101971908633,0.024472101971908633,0.024472101971908633,True,True,False,False,False,False,False,False
yolo11x,7088,0,2/255,0.25,0.45,rcp,pgd,0.8968139717514845,0.8968139717514845,0.8968139717514845,908.726736485958,0.0,0.0,0.0,0.8968139717514845,0.8968139717514845,0.8968139717514845,False,False,True,True,False,False,False,False
yolo11x,7088,0,2/255,0.25,0.45,rcp,square_attack,0.8968139717514845,0.8968139717514845,0.8968139717514845,908.726736485958,0.8828462362289429,0.8828462362289429,0.8828462362289429,0.013967735522541602,0.013967735522541602,0.013967735522541602,True,True,False,False,False,False,False,False
yolo11x,7088,0,2/255,0.25,0.45,rcp,rcp,0.8968139717514845,0.8968139717514845,0.8968139717514845,908.726736485958,0.8968139717514845,0.8968139717514845,0.8968139717514845,0.0,0.0,0.0,True,True,False,False,False,False,False,False
yolo11x,7088,0,2/255,0.25,0.45,odpv,pgd,0.5305553674697876,0.0,0.5305553674697876,53.33419299125672,0.0,0.0,0.0,0.5305553674697876,0.0,0.5305553674697876,False,False,True,False,False,False,False,True
yolo11x,7088,0,2/255,0.25,0.45,odpv,square_attack,0.5305553674697876,0.0,0.5305553674697876,53.33419299125672,0.8828462362289429,0.8828462362289429,0.8828462362289429,0.3522908687591553,0.8828462362289429,0.3522908687591553,True,False,False,False,False,True,False,False
yolo11x,7088,0,2/255,0.25,0.45,odpv,rcp,0.5305553674697876,0.0,0.5305553674697876,53.33419299125672,0.8968139717514845,0.8968139717514845,0.8968139717514845,0.3662586042816969,0.8968139717514845,0.3662586042816969,True,False,False,False,False,True,False,False
yolo11x,7088,0,2/255,0.25,0.65,rcp,pgd,0.8971704689015716,0.8971704689015716,0.8971704689015716,825.519633948803,0.0,0.0,0.0,0.8971704689015716,0.8971704689015716,0.8971704689015716,False,False,True,True,False,False,False,False
yolo11x,7088,0,2/255,0.25,0.65,rcp,square_attack,0.8971704689015716,0.8971704689015716,0.8971704689015716,825.519633948803,0.8828462362289429,0.8828462362289429,0.8828462362289429,0.014324232672628723,0.014324232672628723,0.014324232672628723,True,True,False,False,False,False,False,False
yolo11x,7088,0,2/255,0.25,0.65,rcp,rcp,0.8971704689015716,0.8971704689015716,0.8971704689015716,825.519633948803,0.8971704689015716,0.8971704689015716,0.8971704689015716,0.0,0.0,0.0,True,True,False,False,False,False,False,False
yolo11x,7088,0,2/255,0.25,0.65,odpv,pgd,0.8731002807617188,0.8731002807617188,0.8731002807617188,51.84172248840332,0.0,0.0,0.0,0.8731002807617188,0.8731002807617188,0.8731002807617188,False,False,True,True,False,False,False,False
yolo11x,7088,0,2/255,0.25,0.65,odpv,square_attack,0.8731002807617188,0.8731002807617188,0.8731002807617188,51.84172248840332,0.8828462362289429,0.8828462362289429,0.8828462362289429,0.009745955467224121,0.009745955467224121,0.009745955467224121,True,True,False,False,False,False,False,False
yolo11x,7088,0,2/255,0.25,0.65,odpv,rcp,0.8731002807617188,0.8731002807617188,0.8731002807617188,51.84172248840332,0.8971704689015716,0.8971704689015716,0.8971704689015716,0.024070188139852844,0.024070188139852844,0.024070188139852844,True,True,False,False,False,False,False,False
yolo11x,7088,0,2/255,0.45,0.25,rcp,pgd,0.8969874234475019,0.8969874234475019,0.8969874234475019,836.6953669786453,0.0,0.0,0.0,0.8969874234475019,0.8969874234475019,0.8969874234475019,False,False,True,True,False,False,False,False
yolo11x,7088,0,2/255,0.45,0.25,rcp,square_attack,0.8969874234475019,0.8969874234475019,0.8969874234475019,836.6953669786453,0.8828462362289429,0.8828462362289429,0.8828462362289429,0.01414118721855906,0.01414118721855906,0.01414118721855906,True,True,False,False,False,False,False,False
yolo11x,7088,0,2/255,0.45,0.25,rcp,rcp,0.8969874234475019,0.8969874234475019,0.8969874234475019,836.6953669786453,0.8969874234475019,0.8969874234475019,0.8969874234475019,0.0,0.0,0.0,True,True,False,False,False,False,False,False
yolo11x,7088,0,2/255,0.45,0.25,odpv,pgd,0.8731002807617188,0.8731002807617188,0.8731002807617188,50.81169009208679,0.0,0.0,0.0,0.8731002807617188,0.8731002807617188,0.8731002807617188,False,False,True,True,False,False,False,False
yolo11x,7088,0,2/255,0.45,0.25,odpv,square_attack,0.8731002807617188,0.8731002807617188,0.8731002807617188,50.81169009208679,0.8828462362289429,0.8828462362289429,0.8828462362289429,0.009745955467224121,0.009745955467224121,0.009745955467224121,True,True,False,False,False,False,False,False
yolo11x,7088,0,2/255,0.45,0.25,odpv,rcp,0.8731002807617188,0.8731002807617188,0.8731002807617188,50.81169009208679,0.8969874234475019,0.8969874234475019,0.8969874234475019,0.02388714268578318,0.02388714268578318,0.02388714268578318,True,True,False,False,False,False,False,False
yolo11x,7088,0,2/255,0.45,0.45,rcp,pgd,0.8972994012648139,0.8972994012648139,0.8972994012648139,831.5737951397896,0.0,0.0,0.0,0.8972994012648139,0.8972994012648139,0.8972994012648139,False,False,True,True,False,False,False,False
yolo11x,7088,0,2/255,0.45,0.45,rcp,square_attack,0.8972994012648139,0.8972994012648139,0.8972994012648139,831.5737951397896,0.8828462362289429,0.8828462362289429,0.8828462362289429,0.014453165035871018,0.014453165035871018,0.014453165035871018,True,True,False,False,False,False,False,False
yolo11x,7088,0,2/255,0.45,0.45,rcp,rcp,0.8972994012648139,0.8972994012648139,0.8972994012648139,831.5737951397896,0.8972994012648139,0.8972994012648139,0.8972994012648139,0.0,0.0,0.0,True,True,False,False,False,False,False,False
yolo11x,7088,0,2/255,0.45,0.45,odpv,pgd,0.8731002807617188,0.8731002807617188,0.8731002807617188,52.859917402267456,0.0,0.0,0.0,0.8731002807617188,0.8731002807617188,0.8731002807617188,False,False,True,True,False,False,False,False
yolo11x,7088,0,2/255,0.45,0.45,odpv,square_attack,0.8731002807617188,0.8731002807617188,0.8731002807617188,52.859917402267456,0.8828462362289429,0.8828462362289429,0.8828462362289429,0.009745955467224121,0.009745955467224121,0.009745955467224121,True,True,False,False,False,False,False,False
yolo11x,7088,0,2/255,0.45,0.45,odpv,rcp,0.8731002807617188,0.8731002807617188,0.8731002807617188,52.859917402267456,0.8972994012648139,0.8972994012648139,0.8972994012648139,0.02419912050309514,0.02419912050309514,0.02419912050309514,True,True,False,False,False,False,False,False
yolo11x,7088,0,2/255,0.45,0.65,rcp,pgd,0.897206492359716,0.897206492359716,0.897206492359716,856.2197823524475,0.0,0.0,0.0,0.897206492359716,0.897206492359716,0.897206492359716,False,False,True,True,False,False,False,False
yolo11x,7088,0,2/255,0.45,0.65,rcp,square_attack,0.897206492359716,0.897206492359716,0.897206492359716,856.2197823524475,0.8828462362289429,0.8828462362289429,0.8828462362289429,0.014360256130773075,0.014360256130773075,0.014360256130773075,True,True,False,False,False,False,False,False
yolo11x,7088,0,2/255,0.45,0.65,rcp,rcp,0.897206492359716,0.897206492359716,0.897206492359716,856.2197823524475,0.897206492359716,0.897206492359716,0.897206492359716,0.0,0.0,0.0,True,True,False,False,False,False,False,False
yolo11x,7088,0,2/255,0.45,0.65,odpv,pgd,0.8731004595756531,0.8731004595756531,0.8731004595756531,53.28680038452149,0.0,0.0,0.0,0.8731004595756531,0.8731004595756531,0.8731004595756531,False,False,True,True,False,False,False,False
yolo11x,7088,0,2/255,0.45,0.65,odpv,square_attack,0.8731004595756531,0.8731004595756531,0.8731004595756531,53.28680038452149,0.8828462362289429,0.8828462362289429,0.8828462362289429,0.009745776653289795,0.009745776653289795,0.009745776653289795,True,True,False,False,False,False,False,False
yolo11x,7088,0,2/255,0.45,0.65,odpv,rcp,0.8731004595756531,0.8731004595756531,0.8731004595756531,53.28680038452149,0.897206492359716,0.897206492359716,0.897206492359716,0.02410603278406287,0.02410603278406287,0.02410603278406287,True,True,False,False,False,False,False,False
yolo11x,7088,0,2/255,0.65,0.25,rcp,pgd,0.0,0.0,0.0,845.9199903607368,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True
yolo11x,7088,0,2/255,0.65,0.25,rcp,square_attack,0.0,0.0,0.0,845.9199903607368,0.8828462362289429,0.8828462362289429,0.8828462362289429,0.8828462362289429,0.8828462362289429,0.8828462362289429,False,False,False,False,True,True,False,False
