model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,iou,iou_0.5,iou_0.7,time,noise_type,cmi_max_iou,fa_min_iou
yolo11x,000000007088,0,1/255,0.25,0.45,odpv,0.8662205338478088,0.8662205338478088,0.8662205338478088,327.4163619875908,laplace,0.6141014099121094,0.49369239807128906
yolo11x,000000007088,0,1/255,0.25,0.45,odpv,0.5397783517837524,0.5397783517837524,0.0,149.80647081136703,normal,0.1424274444580078,0.5343828201293945
yolo11x,000000007088,0,1/255,0.25,0.45,odpv,0.0,0.0,0.0,608.651228249073,poisson,1.0,0.0
yolo11x,000000007088,0,1/255,0.25,0.45,odpv,0.0,0.0,0.0,436.3941449522972,poisson_gaussian,1.0,0.0
yolo11x,000000007088,0,1/255,0.25,0.45,odpv,0.5488852262496948,0.5488852262496948,0.0,156.5242314338684,salt_and_pepper,0.1424274444580078,0.5343828201293945
yolo11x,000000007088,0,1/255,0.25,0.45,odpv,0.5399402976036072,0.5399402976036072,0.0,157.16383463144302,uniform,0.1424274444580078,0.5343828201293945
yolo11x,000000007088,0,1/255,0.25,0.45,rcp,0.898585231346226,0.898585231346226,0.898585231346226,1265.68630194664,laplace,0.13981273840996256,0.6902036721716328
yolo11x,000000007088,0,1/255,0.25,0.45,rcp,0.8996195411626041,0.8996195411626041,0.8996195411626041,1259.6985033154488,normal,0.13961882966873787,0.8581122691181448
yolo11x,000000007088,0,1/255,0.25,0.45,rcp,0.8989243122397036,0.8989243122397036,0.8989243122397036,1717.5893483757973,poisson,0.13992501589896625,0.6995980636743477
yolo11x,000000007088,0,1/255,0.25,0.45,rcp,0.899561344431214,0.899561344431214,0.899561344431214,2443.5245388150215,poisson_gaussian,0.13985320115275443,0.6859581183412337
yolo11x,000000007088,0,1/255,0.25,0.45,rcp,0.8999603911732975,0.8999603911732975,0.8999603911732975,1208.3016630411148,salt_and_pepper,0.13954570368972244,0.8586745178961025
yolo11x,000000007088,0,1/255,0.25,0.45,rcp,0.8993669047760096,0.8993669047760096,0.8993669047760096,864.3024885058403,uniform,0.13957742310289753,0.7030140878648384
yolo11x,000000007088,0,2/255,0.25,0.45,rcp,0.8973582421906404,0.8973582421906404,0.8973582421906404,1273.7618148326874,laplace,0.14034831629094582,0.6720195648191056
yolo11x,000000007088,0,2/255,0.25,0.45,rcp,0.8993883035845358,0.8993883035845358,0.8993883035845358,1251.3537151813507,normal,0.13968876103087358,0.6886567116507161
yolo11x,000000007088,0,2/255,0.25,0.45,rcp,0.8990057303165709,0.8990057303165709,0.8990057303165709,1912.1463589668274,poisson,0.13998998108082608,0.6911874393221016
yolo11x,000000007088,0,2/255,0.25,0.45,rcp,0.8990865350686288,0.8990865350686288,0.8990865350686288,2584.589457809925,poisson_gaussian,0.14016216391815534,0.6869500445768225
yolo11x,000000007088,0,2/255,0.25,0.45,rcp,0.8993339975280116,0.8993339975280116,0.8993339975280116,1201.7760708928108,salt_and_pepper,0.1396676585037685,0.6976682454056418
yolo11x,000000007088,0,2/255,0.25,0.45,rcp,0.8988684278479756,0.8988684278479756,0.8988684278479756,861.4613180160522,uniform,0.1400644816900725,0.6839227975153893
yolo11x,000000007088,1,1/255,0.25,0.45,odpv,0.8080230355262756,0.8080230355262756,0.8080230355262756,327.4163619875908,laplace,0.058814048767089844,0.49369239807128906
yolo11x,000000007088,1,1/255,0.25,0.45,odpv,0.8208263516426086,0.8208263516426086,0.8208263516426086,149.80647081136703,normal,0.050963401794433594,0.5343828201293945
yolo11x,000000007088,1,1/255,0.25,0.45,odpv,0.0,0.0,0.0,608.651228249073,poisson,1.0,0.0
yolo11x,000000007088,1,1/255,0.25,0.45,odpv,0.0,0.0,0.0,436.3941449522972,poisson_gaussian,1.0,0.0
yolo11x,000000007088,1,1/255,0.25,0.45,odpv,0.8208264112472534,0.8208264112472534,0.8208264112472534,156.5242314338684,salt_and_pepper,0.050963401794433594,0.5343828201293945
yolo11x,000000007088,1,1/255,0.25,0.45,odpv,0.820827841758728,0.820827841758728,0.820827841758728,157.16383463144302,uniform,0.05204582214355469,0.5343828201293945
yolo11x,000000007088,1,1/255,0.25,0.45,rcp,0.856328206693141,0.856328206693141,0.856328206693141,1265.68630194664,laplace,0.13981273840996256,0.6902036721716328
yolo11x,000000007088,1,1/255,0.25,0.45,rcp,0.8581122691181448,0.8581122691181448,0.8581122691181448,1259.6985033154488,normal,0.13961882966873787,0.8581122691181448
yolo11x,000000007088,1,1/255,0.25,0.45,rcp,0.857159377547664,0.857159377547664,0.857159377547664,1717.5893483757973,poisson,0.13992501589896625,0.6995980636743477
yolo11x,000000007088,1,1/255,0.25,0.45,rcp,0.8569178998980572,0.8569178998980572,0.8569178998980572,2443.5245388150215,poisson_gaussian,0.13985320115275443,0.6859581183412337
yolo11x,000000007088,1,1/255,0.25,0.45,rcp,0.8586745178961025,0.8586745178961025,0.8586745178961025,1208.3016630411148,salt_and_pepper,0.13954570368972244,0.8586745178961025
yolo11x,000000007088,1,1/255,0.25,0.45,rcp,0.8580952183096587,0.8580952183096587,0.8580952183096587,864.3024885058403,uniform,0.13957742310289753,0.7030140878648384
yolo11x,000000007088,1,2/255,0.25,0.45,rcp,0.8538929922518101,0.8538929922518101,0.8538929922518101,1273.7618148326874,laplace,0.14034831629094582,0.6720195648191056
yolo11x,000000007088,1,2/255,0.25,0.45,rcp,0.8578904530887165,0.8578904530887165,0.8578904530887165,1251.3537151813507,normal,0.13968876103087358,0.6886567116507161
yolo11x,000000007088,1,2/255,0.25,0.45,rcp,0.8562300884219464,0.8562300884219464,0.8562300884219464,1912.1463589668274,poisson,0.13998998108082608,0.6911874393221016
yolo11x,000000007088,1,2/255,0.25,0.45,rcp,0.855288185044416,0.855288185044416,0.855288185044416,2584.589457809925,poisson_gaussian,0.14016216391815534,0.6869500445768225
yolo11x,000000007088,1,2/255,0.25,0.45,rcp,0.8581409382813351,0.8581409382813351,0.8581409382813351,1201.7760708928108,salt_and_pepper,0.1396676585037685,0.6976682454056418
yolo11x,000000007088,1,2/255,0.25,0.45,rcp,0.8569722637154639,0.8569722637154639,0.8569722637154639,861.4613180160522,uniform,0.1400644816900725,0.6839227975153893
yolo11x,000000007088,2,1/255,0.25,0.45,odpv,0.9221460223197937,0.9221460223197937,0.9221460223197937,327.4163619875908,laplace,0.2812538146972656,0.49369239807128906
yolo11x,000000007088,2,1/255,0.25,0.45,odpv,0.9394763708114624,0.9394763708114624,0.9394763708114624,149.80647081136703,normal,0.2718009948730469,0.5343828201293945
yolo11x,000000007088,2,1/255,0.25,0.45,odpv,0.0,0.0,0.0,608.651228249073,poisson,1.0,0.0
yolo11x,000000007088,2,1/255,0.25,0.45,odpv,0.5333690047264099,0.5333690047264099,0.0,436.3941449522972,poisson_gaussian,1.0,0.0
yolo11x,000000007088,2,1/255,0.25,0.45,odpv,0.9394763708114624,0.9394763708114624,0.9394763708114624,156.5242314338684,salt_and_pepper,0.26918792724609375,0.5343828201293945
yolo11x,000000007088,2,1/255,0.25,0.45,odpv,0.9295065999031067,0.9295065999031067,0.9295065999031067,157.16383463144302,uniform,0.2718009948730469,0.5343828201293945
