model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,iou,iou_0.5,iou_0.7,time
yolo11m,000000000724,0,1/255,0.25,0.45,odpv,0.9637410640716553,0.9637410640716553,0.9637410640716553,67.76787823438644
yolo11m,000000000724,0,1/255,0.25,0.45,pgd,0.33808374404907227,0.0,0.0,430.5548892021179
yolo11m,000000000724,0,1/255,0.25,0.45,rcp,0.9739360619376406,0.9739360619376406,0.9739360619376406,499.182741522789
yolo11m,000000000724,0,1/255,0.25,0.45,square_attack,0.9633195996284485,0.9633195996284485,0.9633195996284485,78.62116467952728
yolo11m,000000000724,0,2/255,0.25,0.45,odpv,0.9637410640716553,0.9637410640716553,0.9637410640716553,67.65266615152359
yolo11m,000000000724,0,2/255,0.25,0.45,pgd,0.0,0.0,0.0,4.63010311126709
yolo11m,000000000724,0,2/255,0.25,0.45,rcp,0.9731148160309352,0.9731148160309352,0.9731148160309352,500.847806930542
yolo11m,000000000724,0,2/255,0.25,0.45,square_attack,0.9564896821975708,0.9564896821975708,0.9564896821975708,64.01665079593658
yolo11m,000000000724,1,1/255,0.25,0.45,odpv,0.0,0.0,0.0,67.76787823438644
yolo11m,000000000724,1,1/255,0.25,0.45,pgd,0.0,0.0,0.0,430.5548892021179
yolo11m,000000000724,1,1/255,0.25,0.45,rcp,0.423373477908806,0.0,0.0,499.182741522789
yolo11m,000000000724,1,1/255,0.25,0.45,square_attack,0.40449973940849304,0.0,0.0,78.62116467952728
yolo11m,000000000724,1,2/255,0.25,0.45,odpv,0.0,0.0,0.0,67.65266615152359
yolo11m,000000000724,1,2/255,0.25,0.45,pgd,0.0,0.0,0.0,4.63010311126709
yolo11m,000000000724,1,2/255,0.25,0.45,rcp,0.4192467521537078,0.0,0.0,500.847806930542
yolo11m,000000000724,1,2/255,0.25,0.45,square_attack,0.3772273659706116,0.0,0.0,64.01665079593658
yolo11m,000000000724,2,1/255,0.25,0.45,odpv,0.0,0.0,0.0,67.76787823438644
yolo11m,000000000724,2,1/255,0.25,0.45,pgd,0.0,0.0,0.0,430.5548892021179
yolo11m,000000000724,2,1/255,0.25,0.45,rcp,0.0,0.0,0.0,499.182741522789
yolo11m,000000000724,2,1/255,0.25,0.45,square_attack,0.0,0.0,0.0,78.62116467952728
yolo11m,000000000724,2,2/255,0.25,0.45,odpv,0.0,0.0,0.0,67.65266615152359
yolo11m,000000000724,2,2/255,0.25,0.45,pgd,0.0,0.0,0.0,4.63010311126709
yolo11m,000000000724,2,2/255,0.25,0.45,rcp,0.0,0.0,0.0,500.847806930542
yolo11m,000000000724,2,2/255,0.25,0.45,square_attack,0.0,0.0,0.0,64.01665079593658
yolo11m,000000000724,3,1/255,0.25,0.45,odpv,0.8941980004310608,0.8941980004310608,0.8941980004310608,67.76787823438644
yolo11m,000000000724,3,1/255,0.25,0.45,pgd,0.0,0.0,0.0,430.5548892021179
yolo11m,000000000724,3,1/255,0.25,0.45,rcp,0.9526955084125871,0.9526955084125871,0.9526955084125871,499.182741522789
yolo11m,000000000724,3,1/255,0.25,0.45,square_attack,0.9495477080345154,0.9495477080345154,0.9495477080345154,78.62116467952728
yolo11m,000000000724,3,2/255,0.25,0.45,odpv,0.8163086175918579,0.8163086175918579,0.8163086175918579,67.65266615152359
yolo11m,000000000724,3,2/255,0.25,0.45,pgd,0.0,0.0,0.0,4.63010311126709
yolo11m,000000000724,3,2/255,0.25,0.45,rcp,0.9439571574933141,0.9439571574933141,0.9439571574933141,500.847806930542
yolo11m,000000000724,3,2/255,0.25,0.45,square_attack,0.9145073294639587,0.9145073294639587,0.9145073294639587,64.01665079593658
yolo11m,000000001532,0,1/255,0.25,0.45,odpv,0.813565194606781,0.813565194606781,0.813565194606781,38.884556502103806
yolo11m,000000001532,0,1/255,0.25,0.45,pgd,0.0,0.0,0.0,519.8235754966736
yolo11m,000000001532,0,1/255,0.25,0.45,rcp,0.8616272729752427,0.8616272729752427,0.8616272729752427,338.06789419054985
yolo11m,000000001532,0,1/255,0.25,0.45,square_attack,0.8498347401618958,0.8498347401618958,0.8498347401618958,67.92015889286995
yolo11m,000000001532,0,2/255,0.25,0.45,odpv,0.841850757598877,0.841850757598877,0.841850757598877,42.57527965307236
yolo11m,000000001532,0,2/255,0.25,0.45,pgd,0.0,0.0,0.0,22.81303381919861
yolo11m,000000001532,0,2/255,0.25,0.45,rcp,0.858464171921441,0.858464171921441,0.858464171921441,335.1243525147438
yolo11m,000000001532,0,2/255,0.25,0.45,square_attack,0.8168703317642212,0.8168703317642212,0.8168703317642212,68.05671405792236
yolo11m,000000001532,1,1/255,0.25,0.45,odpv,0.0,0.0,0.0,38.884556502103806
yolo11m,000000001532,1,1/255,0.25,0.45,pgd,0.0,0.0,0.0,519.8235754966736
yolo11m,000000001532,1,1/255,0.25,0.45,rcp,0.0,0.0,0.0,338.06789419054985
yolo11m,000000001532,1,1/255,0.25,0.45,square_attack,0.0,0.0,0.0,67.92015889286995
yolo11m,000000001532,1,2/255,0.25,0.45,odpv,0.0,0.0,0.0,42.57527965307236
yolo11m,000000001532,1,2/255,0.25,0.45,pgd,0.0,0.0,0.0,22.81303381919861
yolo11m,000000001532,1,2/255,0.25,0.45,rcp,0.0,0.0,0.0,335.1243525147438
yolo11m,000000001532,1,2/255,0.25,0.45,square_attack,0.0,0.0,0.0,68.05671405792236
yolo11m,000000001532,2,1/255,0.25,0.45,odpv,0.0,0.0,0.0,38.884556502103806
yolo11m,000000001532,2,1/255,0.25,0.45,pgd,0.0,0.0,0.0,519.8235754966736
yolo11m,000000001532,2,1/255,0.25,0.45,rcp,0.7826514398211858,0.7826514398211858,0.7826514398211858,338.06789419054985
yolo11m,000000001532,2,1/255,0.25,0.45,square_attack,0.7769596576690674,0.7769596576690674,0.7769596576690674,67.92015889286995
yolo11m,000000001532,2,2/255,0.25,0.45,odpv,0.5476617217063904,0.5476617217063904,0.0,42.57527965307236
yolo11m,000000001532,2,2/255,0.25,0.45,pgd,0.0,0.0,0.0,22.81303381919861
yolo11m,000000001532,2,2/255,0.25,0.45,rcp,0.7788463628616564,0.7788463628616564,0.7788463628616564,335.1243525147438
yolo11m,000000001532,2,2/255,0.25,0.45,square_attack,0.7554212212562561,0.7554212212562561,0.7554212212562561,68.05671405792236
yolo11m,000000001532,3,1/255,0.25,0.45,odpv,0.0,0.0,0.0,38.884556502103806
yolo11m,000000001532,3,1/255,0.25,0.45,pgd,0.0,0.0,0.0,519.8235754966736
yolo11m,000000001532,3,1/255,0.25,0.45,rcp,0.8723261402306263,0.8723261402306263,0.8723261402306263,338.06789419054985
yolo11m,000000001532,3,1/255,0.25,0.45,square_attack,0.8422437906265259,0.8422437906265259,0.8422437906265259,67.92015889286995
yolo11m,000000001532,3,2/255,0.25,0.45,odpv,0.0,0.0,0.0,42.57527965307236
yolo11m,000000001532,3,2/255,0.25,0.45,pgd,0.0,0.0,0.0,22.81303381919861
yolo11m,000000001532,3,2/255,0.25,0.45,rcp,0.8619584087757769,0.8619584087757769,0.8619584087757769,335.1243525147438
yolo11m,000000001532,3,2/255,0.25,0.45,square_attack,0.8236728310585022,0.8236728310585022,0.8236728310585022,68.05671405792236
yolo11m,000000001532,4,1/255,0.25,0.45,odpv,0.0,0.0,0.0,38.884556502103806
yolo11m,000000001532,4,1/255,0.25,0.45,pgd,0.0,0.0,0.0,519.8235754966736
yolo11m,000000001532,4,1/255,0.25,0.45,rcp,0.0,0.0,0.0,338.06789419054985
yolo11m,000000001532,4,1/255,0.25,0.45,square_attack,0.0,0.0,0.0,67.92015889286995
yolo11m,000000001532,4,2/255,0.25,0.45,odpv,0.0,0.0,0.0,42.57527965307236
yolo11m,000000001532,4,2/255,0.25,0.45,pgd,0.0,0.0,0.0,22.81303381919861
yolo11m,000000001532,4,2/255,0.25,0.45,rcp,0.0,0.0,0.0,335.1243525147438
yolo11m,000000001532,4,2/255,0.25,0.45,square_attack,0.0,0.0,0.0,68.05671405792236
yolo11m,000000001532,5,1/255,0.25,0.45,odpv,0.848595917224884,0.848595917224884,0.848595917224884,38.884556502103806
yolo11m,000000001532,5,1/255,0.25,0.45,pgd,0.0,0.0,0.0,519.8235754966736
yolo11m,000000001532,5,1/255,0.25,0.45,rcp,0.9451940215062371,0.9451940215062371,0.9451940215062371,338.06789419054985
yolo11m,000000001532,5,1/255,0.25,0.45,square_attack,0.9307900071144104,0.9307900071144104,0.9307900071144104,67.92015889286995
yolo11m,000000001532,5,2/255,0.25,0.45,odpv,0.8882482051849365,0.8882482051849365,0.8882482051849365,42.57527965307236
yolo11m,000000001532,5,2/255,0.25,0.45,pgd,0.0,0.0,0.0,22.81303381919861
yolo11m,000000001532,5,2/255,0.25,0.45,rcp,0.939882475648067,0.939882475648067,0.939882475648067,335.1243525147438
yolo11m,000000001532,5,2/255,0.25,0.45,square_attack,0.9121828675270081,0.9121828675270081,0.9121828675270081,68.05671405792236
yolo11m,000000001532,6,1/255,0.25,0.45,odpv,0.0,0.0,0.0,38.884556502103806
yolo11m,000000001532,6,1/255,0.25,0.45,pgd,0.0,0.0,0.0,519.8235754966736
yolo11m,000000001532,6,1/255,0.25,0.45,rcp,0.849435539308912,0.849435539308912,0.849435539308912,338.06789419054985
yolo11m,000000001532,6,1/255,0.25,0.45,square_attack,0.8206972479820251,0.8206972479820251,0.8206972479820251,67.92015889286995
yolo11m,000000001532,6,2/255,0.25,0.45,odpv,0.7194408178329468,0.7194408178329468,0.7194408178329468,42.57527965307236
yolo11m,000000001532,6,2/255,0.25,0.45,pgd,0.0,0.0,0.0,22.81303381919861
yolo11m,000000001532,6,2/255,0.25,0.45,rcp,0.8348001153091834,0.8348001153091834,0.8348001153091834,335.1243525147438
yolo11m,000000001532,6,2/255,0.25,0.45,square_attack,0.7518396973609924,0.7518396973609924,0.7518396973609924,68.05671405792236
yolo11m,000000001532,7,1/255,0.25,0.45,odpv,0.9006627202033997,0.9006627202033997,0.9006627202033997,38.884556502103806
yolo11m,000000001532,7,1/255,0.25,0.45,pgd,0.0,0.0,0.0,519.8235754966736
yolo11m,000000001532,7,1/255,0.25,0.45,rcp,0.9378837140384351,0.9378837140384351,0.9378837140384351,338.06789419054985
yolo11m,000000001532,7,1/255,0.25,0.45,square_attack,0.9138806462287903,0.9138806462287903,0.9138806462287903,67.92015889286995
yolo11m,000000001532,7,2/255,0.25,0.45,odpv,0.8925960659980774,0.8925960659980774,0.8925960659980774,42.57527965307236
yolo11m,000000001532,7,2/255,0.25,0.45,pgd,0.0,0.0,0.0,22.81303381919861
