model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,iou,iou_0.5,iou_0.7,time
yolo11x,000000007088,0,1/255,0.25,0.45,median_nms,0.9011260271072388,0.9011260271072388,0.9011260271072388,25.229624271392822
yolo11x,000000007088,0,1/255,0.25,0.45,odpv,0.5397571325302124,0.5397571325302124,0.0,177.76101678609848
yolo11x,000000007088,0,1/255,0.25,0.45,pgd,0.45135563611984253,0.0,0.0,609.0559732913971
yolo11x,000000007088,0,1/255,0.25,0.45,rcp,0.8984861387912954,0.8984861387912954,0.8984861387912954,1221.7430054545403
yolo11x,000000007088,0,1/255,0.25,0.45,square_attack,0.8915008306503296,0.8915008306503296,0.8915008306503296,128.57705008983612
yolo11x,000000007088,0,2/255,0.25,0.45,median_nms,0.900183379650116,0.900183379650116,0.900183379650116,24.001970887184143
yolo11x,000000007088,0,2/255,0.25,0.45,odpv,0.5398578643798828,0.5398578643798828,0.0,186.2095463871956
yolo11x,000000007088,0,2/255,0.25,0.45,pgd,0.0,0.0,0.0,385.0197343826294
yolo11x,000000007088,0,2/255,0.25,0.45,rcp,0.8977222526716466,0.8977222526716466,0.8977222526716466,1230.3408640623093
yolo11x,000000007088,0,2/255,0.25,0.45,square_attack,0.8828462362289429,0.8828462362289429,0.8828462362289429,128.92390954494476
yolo11x,000000007088,1,1/255,0.25,0.45,median_nms,0.8578904867172241,0.8578904867172241,0.8578904867172241,25.229624271392822
yolo11x,000000007088,1,1/255,0.25,0.45,odpv,0.8208256959915161,0.8208256959915161,0.8208256959915161,177.76101678609848
yolo11x,000000007088,1,1/255,0.25,0.45,pgd,0.0,0.0,0.0,609.0559732913971
yolo11x,000000007088,1,1/255,0.25,0.45,rcp,0.8573809213107143,0.8573809213107143,0.8573809213107143,1221.7430054545403
yolo11x,000000007088,1,1/255,0.25,0.45,square_attack,0.8455198407173157,0.8455198407173157,0.8455198407173157,128.57705008983612
yolo11x,000000007088,1,2/255,0.25,0.45,median_nms,0.8553069233894348,0.8553069233894348,0.8553069233894348,24.001970887184143
yolo11x,000000007088,1,2/255,0.25,0.45,odpv,0.8208243250846863,0.8208243250846863,0.8208243250846863,186.2095463871956
yolo11x,000000007088,1,2/255,0.25,0.45,pgd,0.0,0.0,0.0,385.0197343826294
yolo11x,000000007088,1,2/255,0.25,0.45,rcp,0.8562555558281444,0.8562555558281444,0.8562555558281444,1230.3408640623093
yolo11x,000000007088,1,2/255,0.25,0.45,square_attack,0.8360744118690491,0.8360744118690491,0.8360744118690491,128.92390954494476
yolo11x,000000007088,2,1/255,0.25,0.45,median_nms,0.9446654915809631,0.9446654915809631,0.9446654915809631,25.229624271392822
yolo11x,000000007088,2,1/255,0.25,0.45,odpv,0.9394763708114624,0.9394763708114624,0.9394763708114624,177.76101678609848
yolo11x,000000007088,2,1/255,0.25,0.45,pgd,0.44663164019584656,0.0,0.0,609.0559732913971
yolo11x,000000007088,2,1/255,0.25,0.45,rcp,0.9437837011393241,0.9437837011393241,0.9437837011393241,1221.7430054545403
yolo11x,000000007088,2,1/255,0.25,0.45,square_attack,0.9336803555488586,0.9336803555488586,0.9336803555488586,128.57705008983612
yolo11x,000000007088,2,2/255,0.25,0.45,median_nms,0.9413639307022095,0.9413639307022095,0.9413639307022095,24.001970887184143
yolo11x,000000007088,2,2/255,0.25,0.45,odpv,0.9294922351837158,0.9294922351837158,0.9294922351837158,186.2095463871956
yolo11x,000000007088,2,2/255,0.25,0.45,pgd,0.0,0.0,0.0,385.0197343826294
yolo11x,000000007088,2,2/255,0.25,0.45,rcp,0.9434110307970577,0.9434110307970577,0.9434110307970577,1230.3408640623093
yolo11x,000000007088,2,2/255,0.25,0.45,square_attack,0.9225260019302368,0.9225260019302368,0.9225260019302368,128.92390954494476
yolo11x,000000007088,3,1/255,0.25,0.45,median_nms,0.0,0.0,0.0,25.229624271392822
yolo11x,000000007088,3,1/255,0.25,0.45,odpv,0.0,0.0,0.0,177.76101678609848
yolo11x,000000007088,3,1/255,0.25,0.45,pgd,0.0,0.0,0.0,609.0559732913971
yolo11x,000000007088,3,1/255,0.25,0.45,rcp,0.0,0.0,0.0,1221.7430054545403
yolo11x,000000007088,3,1/255,0.25,0.45,square_attack,0.0,0.0,0.0,128.57705008983612
yolo11x,000000007088,3,2/255,0.25,0.45,median_nms,0.0,0.0,0.0,24.001970887184143
yolo11x,000000007088,3,2/255,0.25,0.45,odpv,0.0,0.0,0.0,186.2095463871956
yolo11x,000000007088,3,2/255,0.25,0.45,pgd,0.0,0.0,0.0,385.0197343826294
yolo11x,000000007088,3,2/255,0.25,0.45,rcp,0.0,0.0,0.0,1230.3408640623093
yolo11x,000000007088,3,2/255,0.25,0.45,square_attack,0.0,0.0,0.0,128.92390954494476
yolo11x,000000014380,0,1/255,0.25,0.45,median_nms,0.8566330075263977,0.8566330075263977,0.8566330075263977,48.49600124359131
yolo11x,000000014380,0,1/255,0.25,0.45,odpv,0.7274529933929443,0.7274529933929443,0.7274529933929443,345.99763691425323
yolo11x,000000014380,0,1/255,0.25,0.45,pgd,0.0,0.0,0.0,25.591573476791382
