model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,target_method,iou_0.5,iou_0.7,iou,time,iou_0.5_target,iou_0.7_target,iou_target,delta_0.5,delta_0.7,delta,TP_0.5,TP_0.7,FP_0.5,FP_0.7,FN_0.5,FN_0.7,TN_0.5,TN_0.7,pgd_bounds_lower_0.5,pgd_bounds_lower_0.7
yolo11x,7088,0,1/255,0.25,0.45,rcp,pgd,0.8984861387912954,0.8984861387912954,0.8984861387912954,1221.7430054545405,0.0,0.0,0.4513556361198425,0.8984861387912954,0.8984861387912954,0.4471305026714529,False,False,True,True,False,False,False,False,True,True
yolo11x,7088,0,1/255,0.25,0.45,rcp,square_attack,0.8984861387912954,0.8984861387912954,0.8984861387912954,1221.7430054545405,0.8915008306503296,0.8915008306503296,0.8915008306503296,0.0069853081409657625,0.0069853081409657625,0.0069853081409657625,True,True,False,False,False,False,False,False,True,True
yolo11x,7088,0,1/255,0.25,0.45,rcp,rcp,0.8984861387912954,0.8984861387912954,0.8984861387912954,1221.7430054545405,0.8984861387912954,0.8984861387912954,0.8984861387912954,0.0,0.0,0.0,True,True,False,False,False,False,False,False,True,True
yolo11x,7088,0,1/255,0.25,0.45,odpv,pgd,0.5397571325302124,0.0,0.5397571325302124,177.76101678609848,0.0,0.0,0.4513556361198425,0.5397571325302124,0.0,0.08840149641036993,False,False,True,False,False,False,False,True,True,True
yolo11x,7088,0,1/255,0.25,0.45,odpv,square_attack,0.5397571325302124,0.0,0.5397571325302124,177.76101678609848,0.8915008306503296,0.8915008306503296,0.8915008306503296,0.3517436981201172,0.8915008306503296,0.3517436981201172,True,False,False,False,False,True,False,False,True,True
yolo11x,7088,0,1/255,0.25,0.45,odpv,rcp,0.5397571325302124,0.0,0.5397571325302124,177.76101678609848,0.8984861387912954,0.8984861387912954,0.8984861387912954,0.35872900626108295,0.8984861387912954,0.35872900626108295,True,False,False,False,False,True,False,False,True,True
yolo11x,7088,0,1/255,0.25,0.45,median_nms,pgd,0.9011260271072388,0.9011260271072388,0.9011260271072388,25.229624271392822,0.0,0.0,0.4513556361198425,0.9011260271072388,0.9011260271072388,0.4497703909873963,False,False,True,True,False,False,False,False,True,True
yolo11x,7088,0,1/255,0.25,0.45,median_nms,square_attack,0.9011260271072388,0.9011260271072388,0.9011260271072388,25.229624271392822,0.8915008306503296,0.8915008306503296,0.8915008306503296,0.00962519645690918,0.00962519645690918,0.00962519645690918,True,True,False,False,False,False,False,False,True,True
yolo11x,7088,0,1/255,0.25,0.45,median_nms,rcp,0.9011260271072388,0.9011260271072388,0.9011260271072388,25.229624271392822,0.8984861387912954,0.8984861387912954,0.8984861387912954,0.0026398883159434172,0.0026398883159434172,0.0026398883159434172,True,True,False,False,False,False,False,False,True,True
yolo11x,7088,0,2/255,0.25,0.45,rcp,pgd,0.8977222526716466,0.8977222526716466,0.8977222526716466,1230.3408640623093,0.0,0.0,0.0,0.8977222526716466,0.8977222526716466,0.8977222526716466,False,False,True,True,False,False,False,False,True,True
yolo11x,7088,0,2/255,0.25,0.45,rcp,square_attack,0.8977222526716466,0.8977222526716466,0.8977222526716466,1230.3408640623093,0.8828462362289429,0.8828462362289429,0.8828462362289429,0.014876016442703754,0.014876016442703754,0.014876016442703754,True,True,False,False,False,False,False,False,True,True
yolo11x,7088,0,2/255,0.25,0.45,rcp,rcp,0.8977222526716466,0.8977222526716466,0.8977222526716466,1230.3408640623093,0.8977222526716466,0.8977222526716466,0.8977222526716466,0.0,0.0,0.0,True,True,False,False,False,False,False,False,True,True
yolo11x,7088,0,2/255,0.25,0.45,odpv,pgd,0.5398578643798828,0.0,0.5398578643798828,186.2095463871956,0.0,0.0,0.0,0.5398578643798828,0.0,0.5398578643798828,False,False,True,False,False,False,False,True,True,True
yolo11x,7088,0,2/255,0.25,0.45,odpv,square_attack,0.5398578643798828,0.0,0.5398578643798828,186.2095463871956,0.8828462362289429,0.8828462362289429,0.8828462362289429,0.34298837184906006,0.8828462362289429,0.34298837184906006,True,False,False,False,False,True,False,False,True,True
yolo11x,7088,0,2/255,0.25,0.45,odpv,rcp,0.5398578643798828,0.0,0.5398578643798828,186.2095463871956,0.8977222526716466,0.8977222526716466,0.8977222526716466,0.3578643882917638,0.8977222526716466,0.3578643882917638,True,False,False,False,False,True,False,False,True,True
yolo11x,7088,0,2/255,0.25,0.45,median_nms,pgd,0.900183379650116,0.900183379650116,0.900183379650116,24.001970887184143,0.0,0.0,0.0,0.900183379650116,0.900183379650116,0.900183379650116,False,False,True,True,False,False,False,False,True,True
yolo11x,7088,0,2/255,0.25,0.45,median_nms,square_attack,0.900183379650116,0.900183379650116,0.900183379650116,24.001970887184143,0.8828462362289429,0.8828462362289429,0.8828462362289429,0.017337143421173096,0.017337143421173096,0.017337143421173096,True,True,False,False,False,False,False,False,True,True
yolo11x,7088,0,2/255,0.25,0.45,median_nms,rcp,0.900183379650116,0.900183379650116,0.900183379650116,24.001970887184143,0.8977222526716466,0.8977222526716466,0.8977222526716466,0.0024611269784693413,0.0024611269784693413,0.0024611269784693413,True,True,False,False,False,False,False,False,True,True
yolo11x,7088,1,1/255,0.25,0.45,rcp,pgd,0.8573809213107143,0.8573809213107143,0.8573809213107143,1221.7430054545405,0.0,0.0,0.0,0.8573809213107143,0.8573809213107143,0.8573809213107143,False,False,True,True,False,False,False,False,True,True
yolo11x,7088,1,1/255,0.25,0.45,rcp,square_attack,0.8573809213107143,0.8573809213107143,0.8573809213107143,1221.7430054545405,0.8455198407173157,0.8455198407173157,0.8455198407173157,0.011861080593398632,0.011861080593398632,0.011861080593398632,True,True,False,False,False,False,False,False,True,True
yolo11x,7088,1,1/255,0.25,0.45,rcp,rcp,0.8573809213107143,0.8573809213107143,0.8573809213107143,1221.7430054545405,0.8573809213107143,0.8573809213107143,0.8573809213107143,0.0,0.0,0.0,True,True,False,False,False,False,False,False,True,True
yolo11x,7088,1,1/255,0.25,0.45,odpv,pgd,0.8208256959915161,0.8208256959915161,0.8208256959915161,177.76101678609848,0.0,0.0,0.0,0.8208256959915161,0.8208256959915161,0.8208256959915161,False,False,True,True,False,False,False,False,True,True
yolo11x,7088,1,1/255,0.25,0.45,odpv,square_attack,0.8208256959915161,0.8208256959915161,0.8208256959915161,177.76101678609848,0.8455198407173157,0.8455198407173157,0.8455198407173157,0.02469414472579956,0.02469414472579956,0.02469414472579956,True,True,False,False,False,False,False,False,True,True
yolo11x,7088,1,1/255,0.25,0.45,odpv,rcp,0.8208256959915161,0.8208256959915161,0.8208256959915161,177.76101678609848,0.8573809213107143,0.8573809213107143,0.8573809213107143,0.03655522531919819,0.03655522531919819,0.03655522531919819,True,True,False,False,False,False,False,False,True,True
yolo11x,7088,1,1/255,0.25,0.45,median_nms,pgd,0.8578904867172241,0.8578904867172241,0.8578904867172241,25.229624271392822,0.0,0.0,0.0,0.8578904867172241,0.8578904867172241,0.8578904867172241,False,False,True,True,False,False,False,False,True,True
yolo11x,7088,1,1/255,0.25,0.45,median_nms,square_attack,0.8578904867172241,0.8578904867172241,0.8578904867172241,25.229624271392822,0.8455198407173157,0.8455198407173157,0.8455198407173157,0.012370645999908447,0.012370645999908447,0.012370645999908447,True,True,False,False,False,False,False,False,True,True
yolo11x,7088,1,1/255,0.25,0.45,median_nms,rcp,0.8578904867172241,0.8578904867172241,0.8578904867172241,25.229624271392822,0.8573809213107143,0.8573809213107143,0.8573809213107143,0.0005095654065098154,0.0005095654065098154,0.0005095654065098154,True,True,False,False,False,False,False,False,True,True
yolo11x,7088,1,2/255,0.25,0.45,rcp,pgd,0.8562555558281444,0.8562555558281444,0.8562555558281444,1230.3408640623093,0.0,0.0,0.0,0.8562555558281444,0.8562555558281444,0.8562555558281444,False,False,True,True,False,False,False,False,True,True
yolo11x,7088,1,2/255,0.25,0.45,rcp,square_attack,0.8562555558281444,0.8562555558281444,0.8562555558281444,1230.3408640623093,0.8360744118690491,0.8360744118690491,0.8360744118690491,0.020181143959095316,0.020181143959095316,0.020181143959095316,True,True,False,False,False,False,False,False,True,True
yolo11x,7088,1,2/255,0.25,0.45,rcp,rcp,0.8562555558281444,0.8562555558281444,0.8562555558281444,1230.3408640623093,0.8562555558281444,0.8562555558281444,0.8562555558281444,0.0,0.0,0.0,True,True,False,False,False,False,False,False,True,True
yolo11x,7088,1,2/255,0.25,0.45,odpv,pgd,0.8208243250846863,0.8208243250846863,0.8208243250846863,186.2095463871956,0.0,0.0,0.0,0.8208243250846863,0.8208243250846863,0.8208243250846863,False,False,True,True,False,False,False,False,True,True
yolo11x,7088,1,2/255,0.25,0.45,odpv,square_attack,0.8208243250846863,0.8208243250846863,0.8208243250846863,186.2095463871956,0.8360744118690491,0.8360744118690491,0.8360744118690491,0.015250086784362793,0.015250086784362793,0.015250086784362793,True,True,False,False,False,False,False,False,True,True
yolo11x,7088,1,2/255,0.25,0.45,odpv,rcp,0.8208243250846863,0.8208243250846863,0.8208243250846863,186.2095463871956,0.8562555558281444,0.8562555558281444,0.8562555558281444,0.03543123074345811,0.03543123074345811,0.03543123074345811,True,True,False,False,False,False,False,False,True,True
yolo11x,7088,1,2/255,0.25,0.45,median_nms,pgd,0.8553069233894348,0.8553069233894348,0.8553069233894348,24.001970887184143,0.0,0.0,0.0,0.8553069233894348,0.8553069233894348,0.8553069233894348,False,False,True,True,False,False,False,False,True,True
yolo11x,7088,1,2/255,0.25,0.45,median_nms,square_attack,0.8553069233894348,0.8553069233894348,0.8553069233894348,24.001970887184143,0.8360744118690491,0.8360744118690491,0.8360744118690491,0.019232511520385742,0.019232511520385742,0.019232511520385742,True,True,False,False,False,False,False,False,True,True
yolo11x,7088,1,2/255,0.25,0.45,median_nms,rcp,0.8553069233894348,0.8553069233894348,0.8553069233894348,24.001970887184143,0.8562555558281444,0.8562555558281444,0.8562555558281444,0.0009486324387095735,0.0009486324387095735,0.0009486324387095735,True,True,False,False,False,False,False,False,True,True
yolo11x,7088,2,1/255,0.25,0.45,rcp,pgd,0.943783701139324,0.943783701139324,0.943783701139324,1221.7430054545405,0.0,0.0,0.4466316401958465,0.943783701139324,0.943783701139324,0.49715206094347747,False,False,True,True,False,False,False,False,True,True
yolo11x,7088,2,1/255,0.25,0.45,rcp,square_attack,0.943783701139324,0.943783701139324,0.943783701139324,1221.7430054545405,0.9336803555488586,0.9336803555488586,0.9336803555488586,0.010103345590465329,0.010103345590465329,0.010103345590465329,True,True,False,False,False,False,False,False,True,True
yolo11x,7088,2,1/255,0.25,0.45,rcp,rcp,0.943783701139324,0.943783701139324,0.943783701139324,1221.7430054545405,0.943783701139324,0.943783701139324,0.943783701139324,0.0,0.0,0.0,True,True,False,False,False,False,False,False,True,True
yolo11x,7088,2,1/255,0.25,0.45,odpv,pgd,0.9394763708114624,0.9394763708114624,0.9394763708114624,177.76101678609848,0.0,0.0,0.4466316401958465,0.9394763708114624,0.9394763708114624,0.4928447306156159,False,False,True,True,False,False,False,False,True,True
yolo11x,7088,2,1/255,0.25,0.45,odpv,square_attack,0.9394763708114624,0.9394763708114624,0.9394763708114624,177.76101678609848,0.9336803555488586,0.9336803555488586,0.9336803555488586,0.00579601526260376,0.00579601526260376,0.00579601526260376,True,True,False,False,False,False,False,False,True,True
yolo11x,7088,2,1/255,0.25,0.45,odpv,rcp,0.9394763708114624,0.9394763708114624,0.9394763708114624,177.76101678609848,0.943783701139324,0.943783701139324,0.943783701139324,0.004307330327861569,0.004307330327861569,0.004307330327861569,True,True,False,False,False,False,False,False,True,True
yolo11x,7088,2,1/255,0.25,0.45,median_nms,pgd,0.9446654915809632,0.9446654915809632,0.9446654915809632,25.229624271392822,0.0,0.0,0.4466316401958465,0.9446654915809632,0.9446654915809632,0.49803385138511674,False,False,True,True,False,False,False,False,True,True
yolo11x,7088,2,1/255,0.25,0.45,median_nms,square_attack,0.9446654915809632,0.9446654915809632,0.9446654915809632,25.229624271392822,0.9336803555488586,0.9336803555488586,0.9336803555488586,0.010985136032104603,0.010985136032104603,0.010985136032104603,True,True,False,False,False,False,False,False,True,True
