model,image,gt_index,epsilon,method,iou,iou_0.5,iou_0.7,time
yolo11m,000000007088,0,1/255,odpv,0.9031351804733276,0.9031351804733276,0.9031351804733276,21.65778684616089
yolo11m,000000007088,0,1/255,pgd,0.0,0.0,0.0,1.1207377910614014
yolo11m,000000007088,0,1/255,rcp,0.9391446012129576,0.9391446012129576,0.9391446012129576,660.0798788666725
yolo11m,000000007088,0,1/255,square_attack,0.9349102973937988,0.9349102973937988,0.9349102973937988,63.51822257041931
yolo11m,000000007088,0,2/255,odpv,0.9029340147972107,0.9029340147972107,0.9029340147972107,20.782028436660767
yolo11m,000000007088,0,2/255,pgd,0.0,0.0,0.0,1.1461663246154785
yolo11m,000000007088,0,2/255,rcp,0.9358227585155409,0.9358227585155409,0.9358227585155409,652.7843282222748
yolo11m,000000007088,0,2/255,square_attack,0.9160229563713074,0.9160229563713074,0.9160229563713074,76.3112541437149
yolo11m,000000007088,1,1/255,odpv,0.8207581043243408,0.8207581043243408,0.8207581043243408,21.68197250366211
yolo11m,000000007088,1,1/255,pgd,0.0,0.0,0.0,1.1207377910614014
yolo11m,000000007088,1,1/255,rcp,0.8642346185087455,0.8642346185087455,0.8642346185087455,660.0798788666725
yolo11m,000000007088,1,1/255,square_attack,0.8594526052474976,0.8594526052474976,0.8594526052474976,63.51822257041931
yolo11m,000000007088,1,2/255,odpv,0.833285391330719,0.833285391330719,0.833285391330719,20.835349559783936
yolo11m,000000007088,1,2/255,pgd,0.0,0.0,0.0,1.1461663246154785
yolo11m,000000007088,1,2/255,rcp,0.857291942764711,0.857291942764711,0.857291942764711,652.7843282222748
yolo11m,000000007088,1,2/255,square_attack,0.8193512558937073,0.8193512558937073,0.8193512558937073,76.3112541437149
yolo11m,000000007088,2,1/255,odpv,0.9216600060462952,0.9216600060462952,0.9216600060462952,21.721696138381958
yolo11m,000000007088,2,1/255,pgd,0.6275475025177002,0.6275475025177002,0.0,1.1207377910614014
yolo11m,000000007088,2,1/255,rcp,0.9462274232787051,0.9462274232787051,0.9462274232787051,660.0798788666725
yolo11m,000000007088,2,1/255,square_attack,0.9410818219184875,0.9410818219184875,0.9410818219184875,63.51822257041931
yolo11m,000000007088,2,2/255,odpv,0.921535849571228,0.921535849571228,0.921535849571228,20.849266052246094
yolo11m,000000007088,2,2/255,pgd,0.24956823885440826,0.0,0.0,1.1461663246154785
yolo11m,000000007088,2,2/255,rcp,0.9453551449157763,0.9453551449157763,0.9453551449157763,652.7843282222748
yolo11m,000000007088,2,2/255,square_attack,0.9203755855560303,0.9203755855560303,0.9203755855560303,76.3112541437149
yolo11m,000000007088,3,1/255,odpv,0.0,0.0,0.0,0.0016682147979736328
yolo11m,000000007088,3,1/255,pgd,0.0,0.0,0.0,1.1207377910614014
yolo11m,000000007088,3,1/255,rcp,0.0,0.0,0.0,660.0798788666725
yolo11m,000000007088,3,1/255,square_attack,0.0,0.0,0.0,63.51822257041931
yolo11m,000000007088,3,2/255,odpv,0.0,0.0,0.0,0.0015048980712890625
yolo11m,000000007088,3,2/255,pgd,0.0,0.0,0.0,1.1461663246154785
yolo11m,000000007088,3,2/255,rcp,0.0,0.0,0.0,652.7843282222748
yolo11m,000000007088,3,2/255,square_attack,0.0,0.0,0.0,76.3112541437149
yolo11m,000000014380,0,1/255,odpv,0.0,0.0,0.0,0.0006957054138183594
yolo11m,000000014380,0,1/255,pgd,0.0,0.0,0.0,1.7887369394302368
yolo11m,000000014380,0,1/255,rcp,0.0,0.0,0.0,1156.3774373531342
yolo11m,000000014380,0,1/255,square_attack,0.0,0.0,0.0,41.39671719074249
yolo11m,000000014380,0,2/255,odpv,0.0,0.0,0.0,0.0005922317504882812
yolo11m,000000014380,0,2/255,pgd,0.0,0.0,0.0,1.6873385906219482
yolo11m,000000014380,0,2/255,rcp,0.0,0.0,0.0,1156.5841073989868
yolo11m,000000014380,0,2/255,square_attack,0.0,0.0,0.0,42.136481523513794
yolo11m,000000014380,1,1/255,odpv,0.9186162352561951,0.9186162352561951,0.9186162352561951,21.104256868362427
yolo11m,000000014380,1,1/255,pgd,0.49876856803894043,0.0,0.0,1.7887369394302368
yolo11m,000000014380,1,1/255,rcp,0.9502288113554704,0.9502288113554704,0.9502288113554704,1156.3774373531342
yolo11m,000000014380,1,1/255,square_attack,0.8358479738235474,0.8358479738235474,0.8358479738235474,41.39671719074249
yolo11m,000000014380,1,2/255,odpv,0.8733381032943726,0.8733381032943726,0.8733381032943726,21.857359886169434
yolo11m,000000014380,1,2/255,pgd,0.6046739816665649,0.6046739816665649,0.0,1.6873385906219482
