model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,iou,iou_0.5,iou_0.7,time,noise_type,cmi_max_iou,fa_min_iou
yolo11x,000000000724,0,1/255,0.25,0.45,odpv,0.9445375204086304,0.9445375204086304,0.9445375204086304,386.515625834465,laplace,0.44759464263916016,0.0
yolo11x,000000000724,0,1/255,0.25,0.45,odpv,0.9651719331741333,0.9651719331741333,0.9651719331741333,177.476293861866,normal,9.5367431640625e-07,0.06035041809082031
yolo11x,000000000724,0,1/255,0.25,0.45,odpv,0.9652120471000671,0.9652120471000671,0.9652120471000671,183.76563435792923,poisson,9.5367431640625e-07,0.0
yolo11x,000000000724,0,1/255,0.25,0.45,odpv,0.9651974439620972,0.9651974439620972,0.9651974439620972,188.0307120680809,poisson_gaussian,0.1267852783203125,0.0
yolo11x,000000000724,0,1/255,0.25,0.45,odpv,0.9704289436340332,0.9704289436340332,0.9704289436340332,178.30460184812546,salt_and_pepper,9.5367431640625e-07,0.06711959838867188
yolo11x,000000000724,0,1/255,0.25,0.45,odpv,0.9651922583580017,0.9651922583580017,0.9651922583580017,171.34420150518417,uniform,9.5367431640625e-07,0.0
yolo11x,000000000724,0,1/255,0.25,0.45,rcp,0.9849366480692786,0.9849366480692786,0.9849366480692786,946.4155425429344,laplace,0.0,0.9411249410560784
yolo11x,000000000724,0,1/255,0.25,0.45,rcp,0.9855480932722572,0.9855480932722572,0.9855480932722572,916.6025196313858,normal,0.0,0.9456201892330398
yolo11x,000000000724,0,1/255,0.25,0.45,rcp,0.985155152132178,0.985155152132178,0.985155152132178,1246.093190729618,poisson,0.0,0.9418941738433692
yolo11x,000000000724,0,1/255,0.25,0.45,rcp,0.9853046302263783,0.9853046302263783,0.9853046302263783,1669.7552907466888,poisson_gaussian,0.0,0.9411656232082471
yolo11x,000000000724,0,1/255,0.25,0.45,rcp,0.9859362057690824,0.9859362057690824,0.9859362057690824,912.4346789121628,salt_and_pepper,0.0,0.948065209471274
yolo11x,000000000724,0,1/255,0.25,0.45,rcp,0.9859410504585467,0.9859410504585467,0.9859410504585467,710.4697983264923,uniform,0.0,0.9458560413796457
yolo11x,000000000724,0,2/255,0.25,0.45,odpv,0.9651982188224792,0.9651982188224792,0.9651982188224792,375.8249288201332,laplace,0.3871498107910156,0.0
yolo11x,000000000724,0,2/255,0.25,0.45,odpv,0.9652177691459656,0.9652177691459656,0.9652177691459656,181.07287061214447,normal,9.5367431640625e-07,0.0
yolo11x,000000000724,0,2/255,0.25,0.45,odpv,0.9652087092399597,0.9652087092399597,0.9652087092399597,186.37459701299667,poisson,0.22029495239257812,0.0
yolo11x,000000000724,0,2/255,0.25,0.45,odpv,0.9651928544044495,0.9651928544044495,0.9651928544044495,189.67532747983932,poisson_gaussian,0.3634796142578125,0.0
yolo11x,000000000724,0,2/255,0.25,0.45,odpv,0.9651913046836853,0.9651913046836853,0.9651913046836853,180.7889939546585,salt_and_pepper,9.5367431640625e-07,0.0
yolo11x,000000000724,0,2/255,0.25,0.45,odpv,0.9652098417282104,0.9652098417282104,0.9652098417282104,179.53335011005402,uniform,0.07401275634765625,0.0
yolo11x,000000000724,0,2/255,0.25,0.45,rcp,0.9844770732573355,0.9844770732573355,0.9844770732573355,945.7094749808311,laplace,0.9003757253460576,0.09187396495630204
yolo11x,000000000724,0,2/255,0.25,0.45,rcp,0.9854781082583015,0.9854781082583015,0.9854781082583015,925.7675005197525,normal,0.0,0.9440967958668347
yolo11x,000000000724,0,2/255,0.25,0.45,rcp,0.9853269386249238,0.9853269386249238,0.9853269386249238,1339.5000519156456,poisson,0.01555838980375569,0.09373190825028212
yolo11x,000000000724,0,2/255,0.25,0.45,rcp,0.9848731099176667,0.9848731099176667,0.9848731099176667,1816.249498128891,poisson_gaussian,0.8992212136852404,0.8992212136852404
yolo11x,000000000724,0,2/255,0.25,0.45,rcp,0.9858741833374309,0.9858741833374309,0.9858741833374309,911.0001164674759,salt_and_pepper,0.0,0.9438922134465231
yolo11x,000000000724,0,2/255,0.25,0.45,rcp,0.9853439532441725,0.9853439532441725,0.9853439532441725,701.9322142004967,uniform,0.015356844604463689,0.09377690362846912
yolo11x,000000000724,1,1/255,0.25,0.45,odpv,0.0,0.0,0.0,386.515625834465,laplace,1.0,0.0
