model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,iou,iou_0.5,iou_0.7,time
yolo11x,000000017178,0,1/255,0.45,0.25,odpv,0.838298499584198,0.838298499584198,0.838298499584198,54.51700043678284
yolo11x,000000017178,0,1/255,0.45,0.25,pgd,0.0058264839462935925,0.0,0.0,664.6758282184601
yolo11x,000000017178,0,1/255,0.45,0.25,rcp,0.8937975142569962,0.8937975142569962,0.8937975142569962,653.0712244510651
yolo11x,000000017178,0,1/255,0.45,0.25,square_attack,0.8612563610076904,0.8612563610076904,0.8612563610076904,136.37548007965088
yolo11x,000000017178,0,2/255,0.45,0.25,odpv,0.6998597383499146,0.6998597383499146,0.0,83.23299717903137
yolo11x,000000017178,0,2/255,0.45,0.25,pgd,0.0,0.0,0.0,5.350320816040039
yolo11x,000000017178,0,2/255,0.45,0.25,rcp,0.886227649646361,0.886227649646361,0.886227649646361,636.3954649925232
yolo11x,000000017178,0,2/255,0.45,0.25,square_attack,0.7658714652061462,0.7658714652061462,0.7658714652061462,130.2933312892914
yolo11x,000000017178,1,1/255,0.45,0.25,odpv,0.8751283288002014,0.8751283288002014,0.8751283288002014,54.49952054023743
yolo11x,000000017178,1,1/255,0.45,0.25,pgd,0.2264775186777115,0.0,0.0,664.6758282184601
yolo11x,000000017178,1,1/255,0.45,0.25,rcp,0.9165322798905028,0.9165322798905028,0.9165322798905028,653.0712244510651
yolo11x,000000017178,1,1/255,0.45,0.25,square_attack,0.9027403593063354,0.9027403593063354,0.9027403593063354,136.37548007965088
yolo11x,000000017178,1,2/255,0.45,0.25,odpv,0.7734619975090027,0.7734619975090027,0.7734619975090027,85.89297795295715
yolo11x,000000017178,1,2/255,0.45,0.25,pgd,0.0,0.0,0.0,5.350320816040039
yolo11x,000000017178,1,2/255,0.45,0.25,rcp,0.9130895275151786,0.9130895275151786,0.9130895275151786,636.3954649925232
yolo11x,000000017178,1,2/255,0.45,0.25,square_attack,0.8853654861450195,0.8853654861450195,0.8853654861450195,130.2933312892914
yolo11x,000000017178,2,1/255,0.45,0.25,odpv,0.0,0.0,0.0,0.20502495765686035
yolo11x,000000017178,2,1/255,0.45,0.25,pgd,0.0,0.0,0.0,664.6758282184601
yolo11x,000000017178,2,1/255,0.45,0.25,rcp,0.5138624042412941,0.5138624042412941,0.0,653.0712244510651
yolo11x,000000017178,2,1/255,0.45,0.25,square_attack,0.512353777885437,0.512353777885437,0.0,136.37548007965088
yolo11x,000000017178,2,2/255,0.45,0.25,odpv,0.0,0.0,0.0,0.10396289825439453
yolo11x,000000017178,2,2/255,0.45,0.25,pgd,0.0,0.0,0.0,5.350320816040039
yolo11x,000000017178,2,2/255,0.45,0.25,rcp,0.5055766463739798,0.5055766463739798,0.0,636.3954649925232
yolo11x,000000017178,2,2/255,0.45,0.25,square_attack,0.5074089765548706,0.5074089765548706,0.0,130.2933312892914
yolo11x,000000017178,3,1/255,0.45,0.25,odpv,0.0,0.0,0.0,0.18421292304992676
yolo11x,000000017178,3,1/255,0.45,0.25,pgd,0.0,0.0,0.0,664.6758282184601
yolo11x,000000017178,3,1/255,0.45,0.25,rcp,0.0,0.0,0.0,653.0712244510651
yolo11x,000000017178,3,1/255,0.45,0.25,square_attack,0.0,0.0,0.0,136.37548007965088
yolo11x,000000017178,3,2/255,0.45,0.25,odpv,0.0,0.0,0.0,0.10438656806945801
yolo11x,000000017178,3,2/255,0.45,0.25,pgd,0.0,0.0,0.0,5.350320816040039
yolo11x,000000017178,3,2/255,0.45,0.25,rcp,0.0,0.0,0.0,636.3954649925232
yolo11x,000000017178,3,2/255,0.45,0.25,square_attack,0.0,0.0,0.0,130.2933312892914
yolo11x,000000017178,4,1/255,0.45,0.25,odpv,0.963450014591217,0.963450014591217,0.963450014591217,52.891024112701416
yolo11x,000000017178,4,1/255,0.45,0.25,pgd,0.0,0.0,0.0,664.6758282184601
yolo11x,000000017178,4,1/255,0.45,0.25,rcp,0.9743265276396311,0.9743265276396311,0.9743265276396311,653.0712244510651
yolo11x,000000017178,4,1/255,0.45,0.25,square_attack,0.9668453335762024,0.9668453335762024,0.9668453335762024,136.37548007965088
yolo11x,000000017178,4,2/255,0.45,0.25,odpv,0.936429500579834,0.936429500579834,0.936429500579834,86.51295042037964
yolo11x,000000017178,4,2/255,0.45,0.25,pgd,0.0,0.0,0.0,5.350320816040039
yolo11x,000000017178,4,2/255,0.45,0.25,rcp,0.9731828831712215,0.9731828831712215,0.9731828831712215,636.3954649925232
yolo11x,000000017178,4,2/255,0.45,0.25,square_attack,0.9548670649528503,0.9548670649528503,0.9548670649528503,130.2933312892914
yolo11x,000000033759,0,1/255,0.45,0.25,odpv,0.7848873138427734,0.7848873138427734,0.7848873138427734,53.10635805130005
yolo11x,000000033759,0,1/255,0.45,0.25,pgd,0.0,0.0,0.0,633.000720500946
yolo11x,000000033759,0,1/255,0.45,0.25,rcp,0.8237026150238136,0.8237026150238136,0.8237026150238136,672.4381217956543
yolo11x,000000033759,0,1/255,0.45,0.25,square_attack,0.8120676279067993,0.8120676279067993,0.8120676279067993,102.50165739059449
yolo11x,000000033759,0,2/255,0.45,0.25,odpv,0.7809803485870361,0.7809803485870361,0.7809803485870361,50.79427766799927
yolo11x,000000033759,0,2/255,0.45,0.25,pgd,0.0,0.0,0.0,104.153235912323
yolo11x,000000033759,0,2/255,0.45,0.25,rcp,0.8197931693466306,0.8197931693466306,0.8197931693466306,671.0690221786499
yolo11x,000000033759,0,2/255,0.45,0.25,square_attack,0.7946637868881226,0.7946637868881226,0.7946637868881226,93.25871868133545
