model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,target_method,iou_0.5,iou_0.7,iou,time,iou_0.5_target,iou_0.7_target,iou_target,delta_0.5,delta_0.7,delta,TP_0.5,TP_0.7,FP_0.5,FP_0.7,FN_0.5,FN_0.7,TN_0.5,TN_0.7,pgd_bounds_lower_0.5,pgd_bounds_lower_0.7
yolo11x,17178,0,1/255,0.45,0.25,rcp,pgd,0.8937975142569962,0.8937975142569962,0.8937975142569962,653.0712244510651,0.0,0.0,0.0058264839462935,0.8937975142569962,0.8937975142569962,0.8879710303107027,False,False,True,True,False,False,False,False,True,True
yolo11x,17178,0,1/255,0.45,0.25,rcp,square_attack,0.8937975142569962,0.8937975142569962,0.8937975142569962,653.0712244510651,0.8612563610076904,0.8612563610076904,0.8612563610076904,0.03254115324930573,0.03254115324930573,0.03254115324930573,True,True,False,False,False,False,False,False,True,True
yolo11x,17178,0,1/255,0.45,0.25,rcp,rcp,0.8937975142569962,0.8937975142569962,0.8937975142569962,653.0712244510651,0.8937975142569962,0.8937975142569962,0.8937975142569962,0.0,0.0,0.0,True,True,False,False,False,False,False,False,True,True
yolo11x,17178,0,1/255,0.45,0.25,odpv,pgd,0.838298499584198,0.838298499584198,0.838298499584198,54.51700043678284,0.0,0.0,0.0058264839462935,0.838298499584198,0.838298499584198,0.8324720156379045,False,False,True,True,False,False,False,False,True,True
yolo11x,17178,0,1/255,0.45,0.25,odpv,square_attack,0.838298499584198,0.838298499584198,0.838298499584198,54.51700043678284,0.8612563610076904,0.8612563610076904,0.8612563610076904,0.02295786142349243,0.02295786142349243,0.02295786142349243,True,True,False,False,False,False,False,False,True,True
yolo11x,17178,0,1/255,0.45,0.25,odpv,rcp,0.838298499584198,0.838298499584198,0.838298499584198,54.51700043678284,0.8937975142569962,0.8937975142569962,0.8937975142569962,0.055499014672798164,0.055499014672798164,0.055499014672798164,True,True,False,False,False,False,False,False,True,True
yolo11x,17178,0,2/255,0.45,0.25,rcp,pgd,0.886227649646361,0.886227649646361,0.886227649646361,636.3954649925232,0.0,0.0,0.0,0.886227649646361,0.886227649646361,0.886227649646361,False,False,True,True,False,False,False,False,True,True
yolo11x,17178,0,2/255,0.45,0.25,rcp,square_attack,0.886227649646361,0.886227649646361,0.886227649646361,636.3954649925232,0.7658714652061462,0.7658714652061462,0.7658714652061462,0.12035618444021479,0.12035618444021479,0.12035618444021479,True,True,False,False,False,False,False,False,True,True
yolo11x,17178,0,2/255,0.45,0.25,rcp,rcp,0.886227649646361,0.886227649646361,0.886227649646361,636.3954649925232,0.886227649646361,0.886227649646361,0.886227649646361,0.0,0.0,0.0,True,True,False,False,False,False,False,False,True,True
yolo11x,17178,0,2/255,0.45,0.25,odpv,pgd,0.6998597383499146,0.0,0.6998597383499146,83.23299717903137,0.0,0.0,0.0,0.6998597383499146,0.0,0.6998597383499146,False,False,True,False,False,False,False,True,True,True
yolo11x,17178,0,2/255,0.45,0.25,odpv,square_attack,0.6998597383499146,0.0,0.6998597383499146,83.23299717903137,0.7658714652061462,0.7658714652061462,0.7658714652061462,0.06601172685623169,0.7658714652061462,0.06601172685623169,True,False,False,False,False,True,False,False,True,True
yolo11x,17178,0,2/255,0.45,0.25,odpv,rcp,0.6998597383499146,0.0,0.6998597383499146,83.23299717903137,0.886227649646361,0.886227649646361,0.886227649646361,0.18636791129644648,0.886227649646361,0.18636791129644648,True,False,False,False,False,True,False,False,True,True
yolo11x,17178,1,1/255,0.45,0.25,rcp,pgd,0.9165322798905028,0.9165322798905028,0.9165322798905028,653.0712244510651,0.0,0.0,0.2264775186777115,0.9165322798905028,0.9165322798905028,0.6900547612127913,False,False,True,True,False,False,False,False,True,True
yolo11x,17178,1,1/255,0.45,0.25,rcp,square_attack,0.9165322798905028,0.9165322798905028,0.9165322798905028,653.0712244510651,0.9027403593063354,0.9027403593063354,0.9027403593063354,0.013791920584167339,0.013791920584167339,0.013791920584167339,True,True,False,False,False,False,False,False,True,True
yolo11x,17178,1,1/255,0.45,0.25,rcp,rcp,0.9165322798905028,0.9165322798905028,0.9165322798905028,653.0712244510651,0.9165322798905028,0.9165322798905028,0.9165322798905028,0.0,0.0,0.0,True,True,False,False,False,False,False,False,True,True
yolo11x,17178,1,1/255,0.45,0.25,odpv,pgd,0.8751283288002014,0.8751283288002014,0.8751283288002014,54.49952054023743,0.0,0.0,0.2264775186777115,0.8751283288002014,0.8751283288002014,0.6486508101224899,False,False,True,True,False,False,False,False,True,True
yolo11x,17178,1,1/255,0.45,0.25,odpv,square_attack,0.8751283288002014,0.8751283288002014,0.8751283288002014,54.49952054023743,0.9027403593063354,0.9027403593063354,0.9027403593063354,0.027612030506134033,0.027612030506134033,0.027612030506134033,True,True,False,False,False,False,False,False,True,True
yolo11x,17178,1,1/255,0.45,0.25,odpv,rcp,0.8751283288002014,0.8751283288002014,0.8751283288002014,54.49952054023743,0.9165322798905028,0.9165322798905028,0.9165322798905028,0.04140395109030137,0.04140395109030137,0.04140395109030137,True,True,False,False,False,False,False,False,True,True
yolo11x,17178,1,2/255,0.45,0.25,rcp,pgd,0.9130895275151786,0.9130895275151786,0.9130895275151786,636.3954649925232,0.0,0.0,0.0,0.9130895275151786,0.9130895275151786,0.9130895275151786,False,False,True,True,False,False,False,False,True,True
yolo11x,17178,1,2/255,0.45,0.25,rcp,square_attack,0.9130895275151786,0.9130895275151786,0.9130895275151786,636.3954649925232,0.8853654861450195,0.8853654861450195,0.8853654861450195,0.027724041370159047,0.027724041370159047,0.027724041370159047,True,True,False,False,False,False,False,False,True,True
