model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,iou,iou_0.5,iou_0.7,time
yolo11x,000000017178,0,1/255,0.25,0.45,odpv,0.0,0.0,0.0,117.98053693771362
yolo11x,000000017178,0,1/255,0.25,0.45,pgd,0.4067992568016052,0.0,0.0,676.9880855083466
yolo11x,000000017178,0,1/255,0.25,0.45,rcp,0.8936247517357951,0.8936247517357951,0.8936247517357951,942.7651678562164
yolo11x,000000017178,0,1/255,0.25,0.45,square_attack,0.8612563610076904,0.8612563610076904,0.8612563610076904,175.1937870979309
yolo11x,000000017178,0,2/255,0.25,0.45,odpv,0.0,0.0,0.0,119.265052318573
yolo11x,000000017178,0,2/255,0.25,0.45,pgd,0.0,0.0,0.0,341.5253710746765
yolo11x,000000017178,0,2/255,0.25,0.45,rcp,0.8906604838502558,0.8906604838502558,0.8906604838502558,902.0253249168396
yolo11x,000000017178,0,2/255,0.25,0.45,square_attack,0.7658714652061462,0.7658714652061462,0.7658714652061462,136.6543659687042
yolo11x,000000017178,1,1/255,0.25,0.45,odpv,0.0,0.0,0.0,117.98053693771362
yolo11x,000000017178,1,1/255,0.25,0.45,pgd,0.3902343511581421,0.0,0.0,676.9880855083466
yolo11x,000000017178,1,1/255,0.25,0.45,rcp,0.9167295300759999,0.9167295300759999,0.9167295300759999,942.7651678562164
yolo11x,000000017178,1,1/255,0.25,0.45,square_attack,0.9027403593063354,0.9027403593063354,0.9027403593063354,175.1937870979309
yolo11x,000000017178,1,2/255,0.25,0.45,odpv,0.0,0.0,0.0,119.265052318573
yolo11x,000000017178,1,2/255,0.25,0.45,pgd,0.0,0.0,0.0,341.5253710746765
yolo11x,000000017178,1,2/255,0.25,0.45,rcp,0.9152358745406862,0.9152358745406862,0.9152358745406862,902.0253249168396
yolo11x,000000017178,1,2/255,0.25,0.45,square_attack,0.8853654861450195,0.8853654861450195,0.8853654861450195,136.6543659687042
yolo11x,000000017178,2,1/255,0.25,0.45,odpv,0.0,0.0,0.0,117.98053693771362
yolo11x,000000017178,2,1/255,0.25,0.45,pgd,0.49373313784599304,0.0,0.0,676.9880855083466
yolo11x,000000017178,2,1/255,0.25,0.45,rcp,0.5237519272445742,0.5237519272445742,0.0,942.7651678562164
yolo11x,000000017178,2,1/255,0.25,0.45,square_attack,0.5135862827301025,0.5135862827301025,0.0,175.1937870979309
yolo11x,000000017178,2,2/255,0.25,0.45,odpv,0.0,0.0,0.0,119.265052318573
