model,image,gt_index,epsilon,conf_threshold,iou_threshold,method,target_method,iou_0.5,iou_0.7,iou,time,iou_0.5_target,iou_0.7_target,iou_target,delta_0.5,delta_0.7,delta,TP_0.5,TP_0.7,FP_0.5,FP_0.7,FN_0.5,FN_0.7,TN_0.5,TN_0.7,pgd_bounds_lower_0.5,pgd_bounds_lower_0.7
yolo11x,17178,0,1/255,0.25,0.45,rcp,pgd,0.8936247517357951,0.8936247517357951,0.8936247517357951,942.7651678562164,0.0,0.0,0.4067992568016052,0.8936247517357951,0.8936247517357951,0.4868254949341899,False,False,True,True,False,False,False,False,True,True
yolo11x,17178,0,1/255,0.25,0.45,rcp,square_attack,0.8936247517357951,0.8936247517357951,0.8936247517357951,942.7651678562164,0.8612563610076904,0.8612563610076904,0.8612563610076904,0.03236839072810471,0.03236839072810471,0.03236839072810471,True,True,False,False,False,False,False,False,True,True
yolo11x,17178,0,1/255,0.25,0.45,rcp,rcp,0.8936247517357951,0.8936247517357951,0.8936247517357951,942.7651678562164,0.8936247517357951,0.8936247517357951,0.8936247517357951,0.0,0.0,0.0,True,True,False,False,False,False,False,False,True,True
yolo11x,17178,0,1/255,0.25,0.45,odpv,pgd,0.0,0.0,0.0,117.98053693771362,0.0,0.0,0.4067992568016052,0.0,0.0,0.4067992568016052,False,False,False,False,False,False,True,True,True,True
yolo11x,17178,0,1/255,0.25,0.45,odpv,square_attack,0.0,0.0,0.0,117.98053693771362,0.8612563610076904,0.8612563610076904,0.8612563610076904,0.8612563610076904,0.8612563610076904,0.8612563610076904,False,False,False,False,True,True,False,False,True,True
yolo11x,17178,0,1/255,0.25,0.45,odpv,rcp,0.0,0.0,0.0,117.98053693771362,0.8936247517357951,0.8936247517357951,0.8936247517357951,0.8936247517357951,0.8936247517357951,0.8936247517357951,False,False,False,False,True,True,False,False,True,True
yolo11x,17178,0,2/255,0.25,0.45,rcp,pgd,0.8906604838502558,0.8906604838502558,0.8906604838502558,902.0253249168396,0.0,0.0,0.0,0.8906604838502558,0.8906604838502558,0.8906604838502558,False,False,True,True,False,False,False,False,True,True
yolo11x,17178,0,2/255,0.25,0.45,rcp,square_attack,0.8906604838502558,0.8906604838502558,0.8906604838502558,902.0253249168396,0.7658714652061462,0.7658714652061462,0.7658714652061462,0.12478901864410952,0.12478901864410952,0.12478901864410952,True,True,False,False,False,False,False,False,True,True
yolo11x,17178,0,2/255,0.25,0.45,rcp,rcp,0.8906604838502558,0.8906604838502558,0.8906604838502558,902.0253249168396,0.8906604838502558,0.8906604838502558,0.8906604838502558,0.0,0.0,0.0,True,True,False,False,False,False,False,False,True,True
yolo11x,17178,0,2/255,0.25,0.45,odpv,pgd,0.0,0.0,0.0,119.265052318573,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,True,True
yolo11x,17178,0,2/255,0.25,0.45,odpv,square_attack,0.0,0.0,0.0,119.265052318573,0.7658714652061462,0.7658714652061462,0.7658714652061462,0.7658714652061462,0.7658714652061462,0.7658714652061462,False,False,False,False,True,True,False,False,True,True
yolo11x,17178,0,2/255,0.25,0.45,odpv,rcp,0.0,0.0,0.0,119.265052318573,0.8906604838502558,0.8906604838502558,0.8906604838502558,0.8906604838502558,0.8906604838502558,0.8906604838502558,False,False,False,False,True,True,False,False,True,True
yolo11x,17178,1,1/255,0.25,0.45,rcp,pgd,0.916729530076,0.916729530076,0.916729530076,942.7651678562164,0.0,0.0,0.3902343511581421,0.916729530076,0.916729530076,0.5264951789178579,False,False,True,True,False,False,False,False,True,True
yolo11x,17178,1,1/255,0.25,0.45,rcp,square_attack,0.916729530076,0.916729530076,0.916729530076,942.7651678562164,0.9027403593063354,0.9027403593063354,0.9027403593063354,0.01398917076966455,0.01398917076966455,0.01398917076966455,True,True,False,False,False,False,False,False,True,True
yolo11x,17178,1,1/255,0.25,0.45,rcp,rcp,0.916729530076,0.916729530076,0.916729530076,942.7651678562164,0.916729530076,0.916729530076,0.916729530076,0.0,0.0,0.0,True,True,False,False,False,False,False,False,True,True
yolo11x,17178,1,1/255,0.25,0.45,odpv,pgd,0.0,0.0,0.0,117.98053693771362,0.0,0.0,0.3902343511581421,0.0,0.0,0.3902343511581421,False,False,False,False,False,False,True,True,True,True
yolo11x,17178,1,1/255,0.25,0.45,odpv,square_attack,0.0,0.0,0.0,117.98053693771362,0.9027403593063354,0.9027403593063354,0.9027403593063354,0.9027403593063354,0.9027403593063354,0.9027403593063354,False,False,False,False,True,True,False,False,True,True
yolo11x,17178,1,1/255,0.25,0.45,odpv,rcp,0.0,0.0,0.0,117.98053693771362,0.916729530076,0.916729530076,0.916729530076,0.916729530076,0.916729530076,0.916729530076,False,False,False,False,True,True,False,False,True,True
yolo11x,17178,1,2/255,0.25,0.45,rcp,pgd,0.9152358745406862,0.9152358745406862,0.9152358745406862,902.0253249168396,0.0,0.0,0.0,0.9152358745406862,0.9152358745406862,0.9152358745406862,False,False,True,True,False,False,False,False,True,True
yolo11x,17178,1,2/255,0.25,0.45,rcp,square_attack,0.9152358745406862,0.9152358745406862,0.9152358745406862,902.0253249168396,0.8853654861450195,0.8853654861450195,0.8853654861450195,0.02987038839566669,0.02987038839566669,0.02987038839566669,True,True,False,False,False,False,False,False,True,True
yolo11x,17178,1,2/255,0.25,0.45,rcp,rcp,0.9152358745406862,0.9152358745406862,0.9152358745406862,902.0253249168396,0.9152358745406862,0.9152358745406862,0.9152358745406862,0.0,0.0,0.0,True,True,False,False,False,False,False,False,True,True
yolo11x,17178,1,2/255,0.25,0.45,odpv,pgd,0.0,0.0,0.0,119.265052318573,0.0,0.0,0.0,0.0,0.0,0.0,False,False,False,False,False,False,True,True,True,True
yolo11x,17178,1,2/255,0.25,0.45,odpv,square_attack,0.0,0.0,0.0,119.265052318573,0.8853654861450195,0.8853654861450195,0.8853654861450195,0.8853654861450195,0.8853654861450195,0.8853654861450195,False,False,False,False,True,True,False,False,True,True
